"Year","Field","FIPS_Code","Value","Units"
"2015","2015 County GDP","47095","141915","thousands of dollars"
"2016","2016 County GDP","47095","129144","thousands of dollars"
"2017","2017 County GDP","47095","133830","thousands of dollars"
"2018","2018 County GDP","47095","114529","thousands of dollars"
"2019","2019 County GDP","47095","141846","thousands of dollars"
"2020","2020 County GDP","47095","131600","thousands of dollars"
"2011","2011 County GDP","47097","615770","thousands of dollars"
"2012","2012 County GDP","47097","573780","thousands of dollars"
"2013","2013 County GDP","47097","651818","thousands of dollars"
"2014","2014 County GDP","47097","635477","thousands of dollars"
"2015","2015 County GDP","47097","649845","thousands of dollars"
"2016","2016 County GDP","47097","655212","thousands of dollars"
"2017","2017 County GDP","47097","687018","thousands of dollars"
"2018","2018 County GDP","47097","715153","thousands of dollars"
"2019","2019 County GDP","47097","751497","thousands of dollars"
"2020","2020 County GDP","47097","741426","thousands of dollars"
"2011","2011 County GDP","47099","904166","thousands of dollars"
"2012","2012 County GDP","47099","939351","thousands of dollars"
"2013","2013 County GDP","47099","959056","thousands of dollars"
"2014","2014 County GDP","47099","980553","thousands of dollars"
"2015","2015 County GDP","47099","1013763","thousands of dollars"
"2016","2016 County GDP","47099","1031533","thousands of dollars"
"2017","2017 County GDP","47099","1024343","thousands of dollars"
"2018","2018 County GDP","47099","1040800","thousands of dollars"
"2019","2019 County GDP","47099","1091066","thousands of dollars"
"2020","2020 County GDP","47099","1107366","thousands of dollars"
"2011","2011 County GDP","47101","197967","thousands of dollars"
"2012","2012 County GDP","47101","214433","thousands of dollars"
"2013","2013 County GDP","47101","214912","thousands of dollars"
"2014","2014 County GDP","47101","238761","thousands of dollars"
"2015","2015 County GDP","47101","251758","thousands of dollars"
"2016","2016 County GDP","47101","271571","thousands of dollars"
"2017","2017 County GDP","47101","261450","thousands of dollars"
"2018","2018 County GDP","47101","268693","thousands of dollars"
"2019","2019 County GDP","47101","297203","thousands of dollars"
"2020","2020 County GDP","47101","294304","thousands of dollars"
"2011","2011 County GDP","47103","815147","thousands of dollars"
"2012","2012 County GDP","47103","840114","thousands of dollars"
"2013","2013 County GDP","47103","959723","thousands of dollars"
"2014","2014 County GDP","47103","953468","thousands of dollars"
"2015","2015 County GDP","47103","1037004","thousands of dollars"
"2016","2016 County GDP","47103","1054685","thousands of dollars"
"2017","2017 County GDP","47103","1072942","thousands of dollars"
"2018","2018 County GDP","47103","1092258","thousands of dollars"
"2019","2019 County GDP","47103","1124344","thousands of dollars"
"2020","2020 County GDP","47103","1057314","thousands of dollars"
"2011","2011 County GDP","47105","1373883","thousands of dollars"
"2012","2012 County GDP","47105","1414627","thousands of dollars"
"2013","2013 County GDP","47105","1525378","thousands of dollars"
"2014","2014 County GDP","47105","1588180","thousands of dollars"
"2015","2015 County GDP","47105","1687164","thousands of dollars"
"2016","2016 County GDP","47105","1718524","thousands of dollars"
"2017","2017 County GDP","47105","1810827","thousands of dollars"
"2018","2018 County GDP","47105","1930837","thousands of dollars"
"2019","2019 County GDP","47105","2168219","thousands of dollars"
"2020","2020 County GDP","47105","2218409","thousands of dollars"
"2011","2011 County GDP","47107","1558791","thousands of dollars"
"2012","2012 County GDP","47107","1749495","thousands of dollars"
"2013","2013 County GDP","47107","1792943","thousands of dollars"
"2014","2014 County GDP","47107","1863752","thousands of dollars"
"2015","2015 County GDP","47107","1960580","thousands of dollars"
"2016","2016 County GDP","47107","2065976","thousands of dollars"
"2017","2017 County GDP","47107","2107535","thousands of dollars"
"2018","2018 County GDP","47107","2148162","thousands of dollars"
"2019","2019 County GDP","47107","2201228","thousands of dollars"
"2020","2020 County GDP","47107","2179864","thousands of dollars"
"2011","2011 County GDP","47109","543817","thousands of dollars"
"2012","2012 County GDP","47109","541939","thousands of dollars"
"2013","2013 County GDP","47109","516304","thousands of dollars"
"2014","2014 County GDP","47109","539334","thousands of dollars"
"2015","2015 County GDP","47109","559817","thousands of dollars"
"2016","2016 County GDP","47109","561995","thousands of dollars"
"2017","2017 County GDP","47109","622437","thousands of dollars"
"2018","2018 County GDP","47109","583686","thousands of dollars"
"2019","2019 County GDP","47109","564985","thousands of dollars"
"2020","2020 County GDP","47109","555721","thousands of dollars"
"2011","2011 County GDP","47111","405993","thousands of dollars"
"2012","2012 County GDP","47111","477526","thousands of dollars"
"2013","2013 County GDP","47111","412675","thousands of dollars"
"2014","2014 County GDP","47111","474026","thousands of dollars"
"2015","2015 County GDP","47111","533241","thousands of dollars"
"2016","2016 County GDP","47111","526367","thousands of dollars"
"2017","2017 County GDP","47111","536237","thousands of dollars"
"2018","2018 County GDP","47111","542203","thousands of dollars"
"2019","2019 County GDP","47111","531843","thousands of dollars"
"2020","2020 County GDP","47111","544007","thousands of dollars"
"2011","2011 County GDP","47113","4852781","thousands of dollars"
"2012","2012 County GDP","47113","5024613","thousands of dollars"
"2013","2013 County GDP","47113","5011202","thousands of dollars"
"2014","2014 County GDP","47113","5126057","thousands of dollars"
"2015","2015 County GDP","47113","5304455","thousands of dollars"
"2016","2016 County GDP","47113","5507014","thousands of dollars"
"2017","2017 County GDP","47113","5904154","thousands of dollars"
"2018","2018 County GDP","47113","6091355","thousands of dollars"
"2019","2019 County GDP","47113","6167516","thousands of dollars"
"2020","2020 County GDP","47113","6091350","thousands of dollars"
"2011","2011 County GDP","47115","641847","thousands of dollars"
"2012","2012 County GDP","47115","684563","thousands of dollars"
"2013","2013 County GDP","47115","706598","thousands of dollars"
"2014","2014 County GDP","47115","703106","thousands of dollars"
"2015","2015 County GDP","47115","738253","thousands of dollars"
"2016","2016 County GDP","47115","748351","thousands of dollars"
"2017","2017 County GDP","47115","804375","thousands of dollars"
"2018","2018 County GDP","47115","832794","thousands of dollars"
"2019","2019 County GDP","47115","804990","thousands of dollars"
"2020","2020 County GDP","47115","804933","thousands of dollars"
"2011","2011 County GDP","47117","710104","thousands of dollars"
"2012","2012 County GDP","47117","737947","thousands of dollars"
"2013","2013 County GDP","47117","783437","thousands of dollars"
"2014","2014 County GDP","47117","864153","thousands of dollars"
"2015","2015 County GDP","47117","932096","thousands of dollars"
"2016","2016 County GDP","47117","980316","thousands of dollars"
"2017","2017 County GDP","47117","1158525","thousands of dollars"
"2018","2018 County GDP","47117","1238107","thousands of dollars"
"2019","2019 County GDP","47117","1285432","thousands of dollars"
"2020","2020 County GDP","47117","1247830","thousands of dollars"
"2011","2011 County GDP","47119","2632102","thousands of dollars"
"2012","2012 County GDP","47119","2667135","thousands of dollars"
"2013","2013 County GDP","47119","2844770","thousands of dollars"
"2014","2014 County GDP","47119","2988956","thousands of dollars"
"2015","2015 County GDP","47119","3335431","thousands of dollars"
"2016","2016 County GDP","47119","3821988","thousands of dollars"
"2017","2017 County GDP","47119","4215538","thousands of dollars"
"2018","2018 County GDP","47119","4034581","thousands of dollars"
"2019","2019 County GDP","47119","4337825","thousands of dollars"
"2020","2020 County GDP","47119","4282628","thousands of dollars"
"2011","2011 County GDP","47121","179840","thousands of dollars"
"2012","2012 County GDP","47121","186919","thousands of dollars"
"2013","2013 County GDP","47121","200805","thousands of dollars"
"2014","2014 County GDP","47121","213865","thousands of dollars"
"2015","2015 County GDP","47121","223465","thousands of dollars"
"2016","2016 County GDP","47121","232569","thousands of dollars"
"2017","2017 County GDP","47121","259083","thousands of dollars"
"2018","2018 County GDP","47121","261010","thousands of dollars"
"2019","2019 County GDP","47121","259160","thousands of dollars"
"2020","2020 County GDP","47121","265431","thousands of dollars"
"2011","2011 County GDP","47123","1171263","thousands of dollars"
"2012","2012 County GDP","47123","1177146","thousands of dollars"
"2013","2013 County GDP","47123","1134109","thousands of dollars"
"2014","2014 County GDP","47123","1138037","thousands of dollars"
"2015","2015 County GDP","47123","1170238","thousands of dollars"
"2016","2016 County GDP","47123","1368092","thousands of dollars"
"2017","2017 County GDP","47123","1462271","thousands of dollars"
"2018","2018 County GDP","47123","1477895","thousands of dollars"
"2019","2019 County GDP","47123","1497096","thousands of dollars"
"2020","2020 County GDP","47123","1432215","thousands of dollars"
"2011","2011 County GDP","47125","4345605","thousands of dollars"
"2012","2012 County GDP","47125","4599259","thousands of dollars"
"2013","2013 County GDP","47125","4623910","thousands of dollars"
"2014","2014 County GDP","47125","4596625","thousands of dollars"
"2015","2015 County GDP","47125","4774120","thousands of dollars"
"2016","2016 County GDP","47125","4952309","thousands of dollars"
"2017","2017 County GDP","47125","5189031","thousands of dollars"
"2018","2018 County GDP","47125","5436941","thousands of dollars"
"2019","2019 County GDP","47125","5882834","thousands of dollars"
"2020","2020 County GDP","47125","5909258","thousands of dollars"
"2011","2011 County GDP","47127","140599","thousands of dollars"
"2012","2012 County GDP","47127","172067","thousands of dollars"
"2013","2013 County GDP","47127","179909","thousands of dollars"
"2014","2014 County GDP","47127","176404","thousands of dollars"
"2015","2015 County GDP","47127","206648","thousands of dollars"
"2016","2016 County GDP","47127","247366","thousands of dollars"
"2017","2017 County GDP","47127","438039","thousands of dollars"
"2018","2018 County GDP","47127","500273","thousands of dollars"
"2019","2019 County GDP","47127","510412","thousands of dollars"
"2020","2020 County GDP","47127","519564","thousands of dollars"
"2011","2011 County GDP","47129","276175","thousands of dollars"
"2012","2012 County GDP","47129","300976","thousands of dollars"
"2013","2013 County GDP","47129","292069","thousands of dollars"
"2014","2014 County GDP","47129","278637","thousands of dollars"
"2015","2015 County GDP","47129","270798","thousands of dollars"
"2016","2016 County GDP","47129","279505","thousands of dollars"
"2017","2017 County GDP","47129","282710","thousands of dollars"
"2018","2018 County GDP","47129","294188","thousands of dollars"
"2019","2019 County GDP","47129","311561","thousands of dollars"
"2020","2020 County GDP","47129","315610","thousands of dollars"
"2011","2011 County GDP","47131","1049356","thousands of dollars"
"2012","2012 County GDP","47131","950917","thousands of dollars"
"2013","2013 County GDP","47131","1040045","thousands of dollars"
"2014","2014 County GDP","47131","1089479","thousands of dollars"
"2015","2015 County GDP","47131","1085184","thousands of dollars"
"2016","2016 County GDP","47131","1081025","thousands of dollars"
"2017","2017 County GDP","47131","1149086","thousands of dollars"
"2018","2018 County GDP","47131","1084390","thousands of dollars"
"2019","2019 County GDP","47131","1190737","thousands of dollars"
"2020","2020 County GDP","47131","1235692","thousands of dollars"
"2011","2011 County GDP","47133","415289","thousands of dollars"
"2012","2012 County GDP","47133","441904","thousands of dollars"
"2013","2013 County GDP","47133","434617","thousands of dollars"
"2014","2014 County GDP","47133","457067","thousands of dollars"
"2015","2015 County GDP","47133","466033","thousands of dollars"
"2016","2016 County GDP","47133","480233","thousands of dollars"
"2017","2017 County GDP","47133","514060","thousands of dollars"
"2018","2018 County GDP","47133","566619","thousands of dollars"
"2019","2019 County GDP","47133","598980","thousands of dollars"
"2020","2020 County GDP","47133","585374","thousands of dollars"
"2011","2011 County GDP","47135","140297","thousands of dollars"
"2012","2012 County GDP","47135","150680","thousands of dollars"
"2013","2013 County GDP","47135","156756","thousands of dollars"
"2014","2014 County GDP","47135","169412","thousands of dollars"
"2015","2015 County GDP","47135","181063","thousands of dollars"
"2016","2016 County GDP","47135","195167","thousands of dollars"
"2017","2017 County GDP","47135","189564","thousands of dollars"
"2018","2018 County GDP","47135","193722","thousands of dollars"
"2019","2019 County GDP","47135","204041","thousands of dollars"
"2020","2020 County GDP","47135","189584","thousands of dollars"
"2011","2011 County GDP","47137","84130","thousands of dollars"
"2012","2012 County GDP","47137","98411","thousands of dollars"
"2013","2013 County GDP","47137","105994","thousands of dollars"
"2014","2014 County GDP","47137","134206","thousands of dollars"
"2015","2015 County GDP","47137","156192","thousands of dollars"
"2016","2016 County GDP","47137","147176","thousands of dollars"
"2017","2017 County GDP","47137","159603","thousands of dollars"
"2018","2018 County GDP","47137","165025","thousands of dollars"
"2019","2019 County GDP","47137","152986","thousands of dollars"
"2020","2020 County GDP","47137","144533","thousands of dollars"
"2011","2011 County GDP","47139","281699","thousands of dollars"
"2012","2012 County GDP","47139","282383","thousands of dollars"
"2013","2013 County GDP","47139","299251","thousands of dollars"
"2014","2014 County GDP","47139","300881","thousands of dollars"
"2015","2015 County GDP","47139","300071","thousands of dollars"
"2016","2016 County GDP","47139","283248","thousands of dollars"
"2017","2017 County GDP","47139","304706","thousands of dollars"
"2018","2018 County GDP","47139","319934","thousands of dollars"
"2019","2019 County GDP","47139","289541","thousands of dollars"
"2020","2020 County GDP","47139","292488","thousands of dollars"
"2011","2011 County GDP","47141","2691454","thousands of dollars"
"2012","2012 County GDP","47141","2843907","thousands of dollars"
"2013","2013 County GDP","47141","2878606","thousands of dollars"
"2014","2014 County GDP","47141","2994562","thousands of dollars"
"2015","2015 County GDP","47141","3104498","thousands of dollars"
"2016","2016 County GDP","47141","3185769","thousands of dollars"
"2017","2017 County GDP","47141","3311276","thousands of dollars"
"2018","2018 County GDP","47141","3477007","thousands of dollars"
"2019","2019 County GDP","47141","3621668","thousands of dollars"
"2020","2020 County GDP","47141","3628037","thousands of dollars"
"2011","2011 County GDP","47143","1214954","thousands of dollars"
"2012","2012 County GDP","47143","1236301","thousands of dollars"
"2013","2013 County GDP","47143","1420990","thousands of dollars"
"2014","2014 County GDP","47143","1509214","thousands of dollars"
"2015","2015 County GDP","47143","1612206","thousands of dollars"
"2016","2016 County GDP","47143","1771040","thousands of dollars"
"2017","2017 County GDP","47143","1892370","thousands of dollars"
"2018","2018 County GDP","47143","2067808","thousands of dollars"
"2019","2019 County GDP","47143","1942315","thousands of dollars"
"2020","2020 County GDP","47143","1710554","thousands of dollars"
"2011","2011 County GDP","47145","2400612","thousands of dollars"
"2012","2012 County GDP","47145","2113589","thousands of dollars"
"2013","2013 County GDP","47145","2116138","thousands of dollars"
"2014","2014 County GDP","47145","2226282","thousands of dollars"
"2015","2015 County GDP","47145","2283908","thousands of dollars"
"2016","2016 County GDP","47145","2450133","thousands of dollars"
"2017","2017 County GDP","47145","2586302","thousands of dollars"
"2018","2018 County GDP","47145","2528624","thousands of dollars"
"2019","2019 County GDP","47145","2728629","thousands of dollars"
"2020","2020 County GDP","47145","2691336","thousands of dollars"
"2011","2011 County GDP","47147","1679222","thousands of dollars"
"2012","2012 County GDP","47147","1980063","thousands of dollars"
"2013","2013 County GDP","47147","2112545","thousands of dollars"
"2014","2014 County GDP","47147","2254682","thousands of dollars"
"2015","2015 County GDP","47147","2515482","thousands of dollars"
"2016","2016 County GDP","47147","2550105","thousands of dollars"
"2017","2017 County GDP","47147","2636632","thousands of dollars"
"2018","2018 County GDP","47147","2533410","thousands of dollars"
"2019","2019 County GDP","47147","2557099","thousands of dollars"
"2020","2020 County GDP","47147","2594856","thousands of dollars"
"2011","2011 County GDP","47149","10133830","thousands of dollars"
"2012","2012 County GDP","47149","10884821","thousands of dollars"
"2013","2013 County GDP","47149","11767080","thousands of dollars"
"2014","2014 County GDP","47149","12699672","thousands of dollars"
"2015","2015 County GDP","47149","13777199","thousands of dollars"
"2016","2016 County GDP","47149","14958577","thousands of dollars"
"2017","2017 County GDP","47149","16014726","thousands of dollars"
"2018","2018 County GDP","47149","16576233","thousands of dollars"
"2019","2019 County GDP","47149","17816417","thousands of dollars"
"2020","2020 County GDP","47149","17649750","thousands of dollars"
"2011","2011 County GDP","47151","390649","thousands of dollars"
"2012","2012 County GDP","47151","430844","thousands of dollars"
"2013","2013 County GDP","47151","624663","thousands of dollars"
"2014","2014 County GDP","47151","897304","thousands of dollars"
"2015","2015 County GDP","47151","725115","thousands of dollars"
"2016","2016 County GDP","47151","474123","thousands of dollars"
"2017","2017 County GDP","47151","481314","thousands of dollars"
"2018","2018 County GDP","47151","501937","thousands of dollars"
"2019","2019 County GDP","47151","507083","thousands of dollars"
"2020","2020 County GDP","47151","499351","thousands of dollars"
"2011","2011 County GDP","47153","201107","thousands of dollars"
"2012","2012 County GDP","47153","229242","thousands of dollars"
"2013","2013 County GDP","47153","248236","thousands of dollars"
"2014","2014 County GDP","47153","252947","thousands of dollars"
"2015","2015 County GDP","47153","273772","thousands of dollars"
"2016","2016 County GDP","47153","283979","thousands of dollars"
"2017","2017 County GDP","47153","298120","thousands of dollars"
"2018","2018 County GDP","47153","297147","thousands of dollars"
"2019","2019 County GDP","47153","295836","thousands of dollars"
"2020","2020 County GDP","47153","305289","thousands of dollars"
"2011","2011 County GDP","47155","2925170","thousands of dollars"
"2012","2012 County GDP","47155","3190510","thousands of dollars"
"2013","2013 County GDP","47155","3337300","thousands of dollars"
"2014","2014 County GDP","47155","3524513","thousands of dollars"
"2015","2015 County GDP","47155","3786288","thousands of dollars"
"2016","2016 County GDP","47155","3935772","thousands of dollars"
"2017","2017 County GDP","47155","4156720","thousands of dollars"
"2018","2018 County GDP","47155","4404875","thousands of dollars"
"2019","2019 County GDP","47155","4712872","thousands of dollars"
"2020","2020 County GDP","47155","4355974","thousands of dollars"
"2011","2011 County GDP","47157","51760266","thousands of dollars"
"2012","2012 County GDP","47157","55047885","thousands of dollars"
"2013","2013 County GDP","47157","56557924","thousands of dollars"
"2014","2014 County GDP","47157","57400551","thousands of dollars"
"2015","2015 County GDP","47157","59859272","thousands of dollars"
"2016","2016 County GDP","47157","60779683","thousands of dollars"
"2017","2017 County GDP","47157","61854181","thousands of dollars"
"2018","2018 County GDP","47157","63396022","thousands of dollars"
"2019","2019 County GDP","47157","65017823","thousands of dollars"
"2020","2020 County GDP","47157","64725681","thousands of dollars"
"2011","2011 County GDP","47159","523110","thousands of dollars"
"2012","2012 County GDP","47159","569128","thousands of dollars"
"2013","2013 County GDP","47159","599544","thousands of dollars"
"2014","2014 County GDP","47159","637596","thousands of dollars"
"2015","2015 County GDP","47159","638287","thousands of dollars"
"2016","2016 County GDP","47159","583817","thousands of dollars"
"2017","2017 County GDP","47159","633381","thousands of dollars"
"2018","2018 County GDP","47159","746657","thousands of dollars"
"2019","2019 County GDP","47159","733613","thousands of dollars"
"2020","2020 County GDP","47159","697927","thousands of dollars"
"2011","2011 County GDP","47161","781658","thousands of dollars"
"2012","2012 County GDP","47161","876990","thousands of dollars"
"2013","2013 County GDP","47161","925534","thousands of dollars"
"2014","2014 County GDP","47161","1110301","thousands of dollars"
"2015","2015 County GDP","47161","1205845","thousands of dollars"
"2016","2016 County GDP","47161","1064396","thousands of dollars"
"2017","2017 County GDP","47161","860264","thousands of dollars"
"2018","2018 County GDP","47161","920065","thousands of dollars"
"2019","2019 County GDP","47161","837529","thousands of dollars"
"2020","2020 County GDP","47161","764238","thousands of dollars"
"2011","2011 County GDP","47163","7101743","thousands of dollars"
"2012","2012 County GDP","47163","7350277","thousands of dollars"
"2013","2013 County GDP","47163","7275162","thousands of dollars"
"2014","2014 County GDP","47163","6980189","thousands of dollars"
"2015","2015 County GDP","47163","7236565","thousands of dollars"
"2016","2016 County GDP","47163","7374582","thousands of dollars"
"2017","2017 County GDP","47163","7695523","thousands of dollars"
"2018","2018 County GDP","47163","7882506","thousands of dollars"
"2019","2019 County GDP","47163","7869645","thousands of dollars"
"2020","2020 County GDP","47163","7750859","thousands of dollars"
"2011","2011 County GDP","47165","4546791","thousands of dollars"
"2012","2012 County GDP","47165","5003191","thousands of dollars"
"2013","2013 County GDP","47165","5466529","thousands of dollars"
"2014","2014 County GDP","47165","5752085","thousands of dollars"
"2015","2015 County GDP","47165","6138395","thousands of dollars"
"2016","2016 County GDP","47165","6400051","thousands of dollars"
"2017","2017 County GDP","47165","6942311","thousands of dollars"
"2018","2018 County GDP","47165","7053419","thousands of dollars"
"2019","2019 County GDP","47165","7307834","thousands of dollars"
"2020","2020 County GDP","47165","7001677","thousands of dollars"
"2011","2011 County GDP","47167","967071","thousands of dollars"
"2012","2012 County GDP","47167","996856","thousands of dollars"
"2013","2013 County GDP","47167","1071154","thousands of dollars"
"2014","2014 County GDP","47167","1055451","thousands of dollars"
"2015","2015 County GDP","47167","1128808","thousands of dollars"
"2016","2016 County GDP","47167","1164626","thousands of dollars"
"2017","2017 County GDP","47167","1193844","thousands of dollars"
"2018","2018 County GDP","47167","1184032","thousands of dollars"
"2019","2019 County GDP","47167","1248993","thousands of dollars"
"2020","2020 County GDP","47167","1283359","thousands of dollars"
"2011","2011 County GDP","47169","130819","thousands of dollars"
"2012","2012 County GDP","47169","143111","thousands of dollars"
"2013","2013 County GDP","47169","134867","thousands of dollars"
"2014","2014 County GDP","47169","146974","thousands of dollars"
"2015","2015 County GDP","47169","161401","thousands of dollars"
"2016","2016 County GDP","47169","162224","thousands of dollars"
"2017","2017 County GDP","47169","165335","thousands of dollars"
"2018","2018 County GDP","47169","194543","thousands of dollars"
"2019","2019 County GDP","47169","207667","thousands of dollars"
"2020","2020 County GDP","47169","199479","thousands of dollars"
"2011","2011 County GDP","47171","576020","thousands of dollars"
"2012","2012 County GDP","47171","562406","thousands of dollars"
"2013","2013 County GDP","47171","575397","thousands of dollars"
"2014","2014 County GDP","47171","568243","thousands of dollars"
"2015","2015 County GDP","47171","624637","thousands of dollars"
"2016","2016 County GDP","47171","490983","thousands of dollars"
"2017","2017 County GDP","47171","565222","thousands of dollars"
"2018","2018 County GDP","47171","572605","thousands of dollars"
"2019","2019 County GDP","47171","560476","thousands of dollars"
"2020","2020 County GDP","47171","538522","thousands of dollars"
"2011","2011 County GDP","47173","293539","thousands of dollars"
"2012","2012 County GDP","47173","321033","thousands of dollars"
"2013","2013 County GDP","47173","277916","thousands of dollars"
"2014","2014 County GDP","47173","287510","thousands of dollars"
"2015","2015 County GDP","47173","305274","thousands of dollars"
"2016","2016 County GDP","47173","303810","thousands of dollars"
"2017","2017 County GDP","47173","307525","thousands of dollars"
"2018","2018 County GDP","47173","325060","thousands of dollars"
"2019","2019 County GDP","47173","344986","thousands of dollars"
"2020","2020 County GDP","47173","346749","thousands of dollars"
"2011","2011 County GDP","47175","78612","thousands of dollars"
"2012","2012 County GDP","47175","94981","thousands of dollars"
"2013","2013 County GDP","47175","100899","thousands of dollars"
"2014","2014 County GDP","47175","99614","thousands of dollars"
"2015","2015 County GDP","47175","106935","thousands of dollars"
"2016","2016 County GDP","47175","102715","thousands of dollars"
"2017","2017 County GDP","47175","104466","thousands of dollars"
"2018","2018 County GDP","47175","98264","thousands of dollars"
"2019","2019 County GDP","47175","102500","thousands of dollars"
"2020","2020 County GDP","47175","98903","thousands of dollars"
"2011","2011 County GDP","47177","1046479","thousands of dollars"
"2012","2012 County GDP","47177","1209063","thousands of dollars"
"2013","2013 County GDP","47177","1246137","thousands of dollars"
"2014","2014 County GDP","47177","1350177","thousands of dollars"
"2015","2015 County GDP","47177","1419051","thousands of dollars"
"2016","2016 County GDP","47177","1504574","thousands of dollars"
"2017","2017 County GDP","47177","1423905","thousands of dollars"
"2018","2018 County GDP","47177","1417656","thousands of dollars"
"2019","2019 County GDP","47177","1472489","thousands of dollars"
"2020","2020 County GDP","47177","1483328","thousands of dollars"
"2011","2011 County GDP","47179","4802664","thousands of dollars"
"2012","2012 County GDP","47179","5055851","thousands of dollars"
"2013","2013 County GDP","47179","5082288","thousands of dollars"
"2014","2014 County GDP","47179","5105530","thousands of dollars"
"2015","2015 County GDP","47179","5439695","thousands of dollars"
"2016","2016 County GDP","47179","5436320","thousands of dollars"
"2017","2017 County GDP","47179","5614777","thousands of dollars"
"2018","2018 County GDP","47179","5820168","thousands of dollars"
"2019","2019 County GDP","47179","6170601","thousands of dollars"
"2020","2020 County GDP","47179","6307010","thousands of dollars"
"2011","2011 County GDP","47181","276316","thousands of dollars"
"2012","2012 County GDP","47181","288184","thousands of dollars"
"2013","2013 County GDP","47181","313258","thousands of dollars"
"2014","2014 County GDP","47181","319921","thousands of dollars"
"2015","2015 County GDP","47181","333306","thousands of dollars"
"2016","2016 County GDP","47181","315420","thousands of dollars"
"2017","2017 County GDP","47181","318006","thousands of dollars"
"2018","2018 County GDP","47181","336985","thousands of dollars"
"2019","2019 County GDP","47181","348960","thousands of dollars"
"2020","2020 County GDP","47181","359343","thousands of dollars"
"2011","2011 County GDP","47183","897680","thousands of dollars"
"2012","2012 County GDP","47183","972548","thousands of dollars"
"2013","2013 County GDP","47183","1029673","thousands of dollars"
"2014","2014 County GDP","47183","1022558","thousands of dollars"
"2015","2015 County GDP","47183","1025491","thousands of dollars"
"2016","2016 County GDP","47183","1065289","thousands of dollars"
"2017","2017 County GDP","47183","1142703","thousands of dollars"
"2018","2018 County GDP","47183","1170851","thousands of dollars"
"2019","2019 County GDP","47183","1293664","thousands of dollars"
"2020","2020 County GDP","47183","1301379","thousands of dollars"
"2011","2011 County GDP","47185","603726","thousands of dollars"
"2012","2012 County GDP","47185","662660","thousands of dollars"
"2013","2013 County GDP","47185","668615","thousands of dollars"
"2014","2014 County GDP","47185","660818","thousands of dollars"
"2015","2015 County GDP","47185","686525","thousands of dollars"
"2016","2016 County GDP","47185","716322","thousands of dollars"
"2017","2017 County GDP","47185","757081","thousands of dollars"
"2018","2018 County GDP","47185","735668","thousands of dollars"
"2019","2019 County GDP","47185","767043","thousands of dollars"
"2020","2020 County GDP","47185","737294","thousands of dollars"
"2011","2011 County GDP","47187","13891454","thousands of dollars"
"2012","2012 County GDP","47187","16093587","thousands of dollars"
"2013","2013 County GDP","47187","17068216","thousands of dollars"
"2014","2014 County GDP","47187","18364691","thousands of dollars"
"2015","2015 County GDP","47187","20651581","thousands of dollars"
"2016","2016 County GDP","47187","21498331","thousands of dollars"
"2017","2017 County GDP","47187","22079624","thousands of dollars"
"2018","2018 County GDP","47187","22698725","thousands of dollars"
"2019","2019 County GDP","47187","24080563","thousands of dollars"
"2020","2020 County GDP","47187","23414371","thousands of dollars"
"2011","2011 County GDP","47189","3448319","thousands of dollars"
"2012","2012 County GDP","47189","3675827","thousands of dollars"
"2013","2013 County GDP","47189","3903702","thousands of dollars"
"2014","2014 County GDP","47189","4107568","thousands of dollars"
"2015","2015 County GDP","47189","4562447","thousands of dollars"
"2016","2016 County GDP","47189","4752999","thousands of dollars"
"2017","2017 County GDP","47189","4963731","thousands of dollars"
"2018","2018 County GDP","47189","5394679","thousands of dollars"
"2019","2019 County GDP","47189","5638383","thousands of dollars"
"2020","2020 County GDP","47189","5709549","thousands of dollars"
