"Year","Field","Value","Unit"
"1966","total energy consumed by the industrial sector Tennessee","647088","billion btu},"
"1967","total energy consumed by the industrial sector Tennessee","632299","billion btu},"
"1968","total energy consumed by the industrial sector Tennessee","623025","billion btu},"
"1960","total energy consumed by the industrial sector United States","20799142","billion btu"
"1977","total energy consumed by the industrial sector Tennessee","792035","billion btu},"
"1978","total energy consumed by the industrial sector Tennessee","723286","billion btu},"
"1979","total energy consumed by the industrial sector Tennessee","750785","billion btu},"
"1980","total energy consumed by the industrial sector Tennessee","709949","billion btu},"
"1981","total energy consumed by the industrial sector Tennessee","694277","billion btu},"
"1982","total energy consumed by the industrial sector Tennessee","611165","billion btu},"
"1983","total energy consumed by the industrial sector Tennessee","645907","billion btu},"
"1984","total energy consumed by the industrial sector Tennessee","741640","billion btu},"
"1985","total energy consumed by the industrial sector Tennessee","721549","billion btu},"
"1986","total energy consumed by the industrial sector Tennessee","699094","billion btu},"
"1987","total energy consumed by the industrial sector Tennessee","700886","billion btu},"
"1988","total energy consumed by the industrial sector Tennessee","735155","billion btu},"
"1989","total energy consumed by the industrial sector Tennessee","732537","billion btu},"
"1990","total energy consumed by the industrial sector Tennessee","730290","billion btu},"
"1991","total energy consumed by the industrial sector Tennessee","737555","billion btu},"
"1992","total energy consumed by the industrial sector Tennessee","823919","billion btu},"
"1993","total energy consumed by the industrial sector Tennessee","836283","billion btu},"
"1969","total energy consumed by the industrial sector Tennessee","629132","billion btu},"
"1970","total energy consumed by the industrial sector Tennessee","623505","billion btu},"
"1971","total energy consumed by the industrial sector Tennessee","602387","billion btu},"
"1972","total energy consumed by the industrial sector Tennessee","654452","billion btu},"
"1973","total energy consumed by the industrial sector Tennessee","749214","billion btu},"
"1974","total energy consumed by the industrial sector Tennessee","732328","billion btu},"
"1975","total energy consumed by the industrial sector Tennessee","728164","billion btu},"
"1976","total energy consumed by the industrial sector Tennessee","805501","billion btu},"
"1994","total energy consumed by the industrial sector Tennessee","850075","billion btu},"
"1995","total energy consumed by the industrial sector Tennessee","862284","billion btu},"
"1996","total energy consumed by the industrial sector Tennessee","870902","billion btu},"
"1997","total energy consumed by the industrial sector Tennessee","676010","billion btu},"
"1998","total energy consumed by the industrial sector Tennessee","724893","billion btu},"
"1999","total energy consumed by the industrial sector Tennessee","736057","billion btu},"
"2000","total energy consumed by the industrial sector Tennessee","731073","billion btu},"
"1961","total energy consumed by the industrial sector United States","20911596","billion btu"
"1962","total energy consumed by the industrial sector United States","21744102","billion btu"
"1963","total energy consumed by the industrial sector United States","22723720","billion btu"
"1964","total energy consumed by the industrial sector United States","24074837","billion btu"
"1965","total energy consumed by the industrial sector United States","25059309","billion btu"
"1966","total energy consumed by the industrial sector United States","26384869","billion btu"
"1967","total energy consumed by the industrial sector United States","26638484","billion btu"
"1968","total energy consumed by the industrial sector United States","27880000","billion btu"
"1969","total energy consumed by the industrial sector United States","29084702","billion btu"
"1970","total energy consumed by the industrial sector United States","29570866","billion btu"
"1971","total energy consumed by the industrial sector United States","29526268","billion btu"
"1972","total energy consumed by the industrial sector United States","30911095","billion btu"
"1973","total energy consumed by the industrial sector United States","32635711","billion btu"
"1974","total energy consumed by the industrial sector United States","31752143","billion btu"
"1975","total energy consumed by the industrial sector United States","29404665","billion btu"
"1976","total energy consumed by the industrial sector United States","31382672","billion btu"
"1977","total energy consumed by the industrial sector United States","32255385","billion btu"
"1978","total energy consumed by the industrial sector United States","32700049","billion btu"
"1979","total energy consumed by the industrial sector United States","33899793","billion btu"
"1980","total energy consumed by the industrial sector United States","32043188","billion btu"
"1981","total energy consumed by the industrial sector United States","30716284","billion btu"
"1982","total energy consumed by the industrial sector United States","27578390","billion btu"
"1983","total energy consumed by the industrial sector United States","27380370","billion btu"
"1984","total energy consumed by the industrial sector United States","29518094","billion btu"
"1985","total energy consumed by the industrial sector United States","28820137","billion btu"
"1986","total energy consumed by the industrial sector United States","28258580","billion btu"
"1987","total energy consumed by the industrial sector United States","29339446","billion btu"
"1988","total energy consumed by the industrial sector United States","30678444","billion btu"
"1989","total energy consumed by the industrial sector United States","31291814","billion btu"
"1990","total energy consumed by the industrial sector United States","31766363","billion btu"
"1991","total energy consumed by the industrial sector United States","31340964","billion btu"
"1992","total energy consumed by the industrial sector United States","32520103","billion btu"
"1993","total energy consumed by the industrial sector United States","32568801","billion btu"
"1995","total energy consumed by the industrial sector United States","33954877","billion btu"
"1996","total energy consumed by the industrial sector United States","34881249","billion btu"
"1997","total energy consumed by the industrial sector United States","35242178","billion btu"
"1998","total energy consumed by the industrial sector United States","34751290","billion btu"
"2000","total energy consumed by the industrial sector United States","34591034","billion btu"
"1994","total energy consumed by the industrial sector United States","33487211","billion btu"
"1999","total energy consumed by the industrial sector United States","34650386","billion btu"
"2001","total energy consumed by the industrial sector United States","32610919","billion btu"
"2002","total energy consumed by the industrial sector United States","32598827","billion btu"
"2005","total energy consumed by the industrial sector United States","32422826","billion btu"
"2001","total energy consumed by the industrial sector Tennessee","755091","billion btu},"
"2002","total energy consumed by the industrial sector Tennessee","734239","billion btu},"
"2005","total energy consumed by the industrial sector Tennessee","755358","billion btu},"
"2017","total energy consumed by the industrial sector United States","31879810","billion btu"
"2017","total energy consumed by the industrial sector Tennessee","576857","billion btu},"
"2004","total energy consumed by the industrial sector Tennessee","750520","billion btu},"
"2004","total energy consumed by the industrial sector United States","33469456","billion btu"
"2006","total energy consumed by the industrial sector Tennessee","752582","billion btu},"
"2009","total energy consumed by the industrial sector United States","28451701","billion btu"
"2008","total energy consumed by the industrial sector Tennessee","713336","billion btu},"
"2011","total energy consumed by the industrial sector Tennessee","633656","billion btu},"
"2008","total energy consumed by the industrial sector United States","31335507","billion btu"
"2007","total energy consumed by the industrial sector Tennessee","728427","billion btu},"
"2006","total energy consumed by the industrial sector United States","32344439","billion btu"
"2007","total energy consumed by the industrial sector United States","32386282","billion btu"
"2012","total energy consumed by the industrial sector United States","31047752","billion btu"
"2003","total energy consumed by the industrial sector Tennessee","737143","billion btu},"
"2011","total energy consumed by the industrial sector United States","30984985","billion btu"
"2010","total energy consumed by the industrial sector Tennessee","630424","billion btu},"
"2012","total energy consumed by the industrial sector Tennessee","628171","billion btu},"
"2015","total energy consumed by the industrial sector Tennessee","575363","billion btu},"
"2009","total energy consumed by the industrial sector Tennessee","580137","billion btu},"
"2010","total energy consumed by the industrial sector United States","30647295","billion btu"
"2015","total energy consumed by the industrial sector United States","31436507","billion btu"
"2003","total energy consumed by the industrial sector United States","32508292","billion btu"
"2019","total energy consumed by the industrial sector Tennessee","532034","billion btu},"
"2019","total energy consumed by the industrial sector United States","32741719","billion btu"
"2018","total energy consumed by the industrial sector United States","32818732","billion btu"
"2018","total energy consumed by the industrial sector Tennessee","553855","billion btu},"
"2016","total energy consumed by the industrial sector United States","31410344","billion btu"
"2020","total energy consumed by the industrial sector Tennessee","512736","billion btu},"
"2016","total energy consumed by the industrial sector Tennessee","589735","billion btu},"
"2020","total energy consumed by the industrial sector United States","31260077","billion btu"
"2013","total energy consumed by the residential sector United States","21018102","billion btu"
"2013","total energy consumed by the residential sector Tennessee","531182","billion btu},"
"2014","total energy consumed by the residential sector United States","21418020","billion btu"
"2014","total energy consumed by the residential sector Tennessee","562116","billion btu},"
"1973","total energy consumed by the residential sector United States","14919481","billion btu"
"1974","total energy consumed by the residential sector United States","14651895","billion btu"
"1975","total energy consumed by the residential sector United States","14814536","billion btu"
"1976","total energy consumed by the residential sector United States","15417206","billion btu"
"1977","total energy consumed by the residential sector United States","15663022","billion btu"
"1978","total energy consumed by the residential sector United States","16143315","billion btu"
"1979","total energy consumed by the residential sector United States","15813447","billion btu"
"1980","total energy consumed by the residential sector United States","15731634","billion btu"
"1960","total energy consumed by the residential sector United States","9033190","billion btu"
"1961","total energy consumed by the residential sector United States","9280028","billion btu"
"1962","total energy consumed by the residential sector United States","9776931","billion btu"
"1963","total energy consumed by the residential sector United States","9982426","billion btu"
"1964","total energy consumed by the residential sector United States","10232757","billion btu"
"1965","total energy consumed by the residential sector United States","10632381","billion btu"
"1966","total energy consumed by the residential sector United States","11156752","billion btu"
"1967","total energy consumed by the residential sector United States","11631475","billion btu"
"1968","total energy consumed by the residential sector United States","12330437","billion btu"
"1969","total energy consumed by the residential sector United States","13161405","billion btu"
"1970","total energy consumed by the residential sector United States","13728645","billion btu"
"1971","total energy consumed by the residential sector United States","14210554","billion btu"
"1972","total energy consumed by the residential sector United States","14861651","billion btu"
"1960","total energy consumed by the residential sector Tennessee","185340","billion btu},"
"1961","total energy consumed by the residential sector Tennessee","182867","billion btu},"
"1962","total energy consumed by the residential sector Tennessee","196375","billion btu},"
"1963","total energy consumed by the residential sector Tennessee","208968","billion btu},"
"1964","total energy consumed by the residential sector Tennessee","209143","billion btu},"
"1965","total energy consumed by the residential sector Tennessee","217082","billion btu},"
"1966","total energy consumed by the residential sector Tennessee","236178","billion btu},"
"1967","total energy consumed by the residential sector Tennessee","239742","billion btu},"
"1968","total energy consumed by the residential sector Tennessee","266820","billion btu},"
"1969","total energy consumed by the residential sector Tennessee","288889","billion btu},"
"1970","total energy consumed by the residential sector Tennessee","301121","billion btu},"
"1971","total energy consumed by the residential sector Tennessee","302420","billion btu},"
"1972","total energy consumed by the residential sector Tennessee","314646","billion btu},"
"1973","total energy consumed by the residential sector Tennessee","320438","billion btu},"
"1974","total energy consumed by the residential sector Tennessee","311261","billion btu},"
"1975","total energy consumed by the residential sector Tennessee","350465","billion btu},"
"1976","total energy consumed by the residential sector Tennessee","360782","billion btu},"
"1977","total energy consumed by the residential sector Tennessee","394830","billion btu},"
"1978","total energy consumed by the residential sector Tennessee","389593","billion btu},"
"1979","total energy consumed by the residential sector Tennessee","380023","billion btu},"
"1980","total energy consumed by the residential sector Tennessee","380791","billion btu},"
"1981","total energy consumed by the residential sector Tennessee","356741","billion btu},"
"1982","total energy consumed by the residential sector Tennessee","366562","billion btu},"
"1983","total energy consumed by the residential sector Tennessee","361457","billion btu},"
"1984","total energy consumed by the residential sector Tennessee","383783","billion btu},"
"1985","total energy consumed by the residential sector Tennessee","373108","billion btu},"
"1986","total energy consumed by the residential sector Tennessee","367896","billion btu},"
"1987","total energy consumed by the residential sector Tennessee","381623","billion btu},"
"1988","total energy consumed by the residential sector Tennessee","395849","billion btu},"
"1989","total energy consumed by the residential sector Tennessee","412468","billion btu},"
"1990","total energy consumed by the residential sector Tennessee","398891","billion btu},"
"1981","total energy consumed by the residential sector United States","15247535","billion btu"
"1982","total energy consumed by the residential sector United States","15497034","billion btu"
"1983","total energy consumed by the residential sector United States","15399060","billion btu"
"1984","total energy consumed by the residential sector United States","15920721","billion btu"
"1985","total energy consumed by the residential sector United States","16041775","billion btu"
"1986","total energy consumed by the residential sector United States","15951750","billion btu"
"1987","total energy consumed by the residential sector United States","16228823","billion btu"
"1988","total energy consumed by the residential sector United States","17132762","billion btu"
"1989","total energy consumed by the residential sector United States","17775513","billion btu"
"1990","total energy consumed by the residential sector United States","16930638","billion btu"
"1991","total energy consumed by the residential sector United States","17401226","billion btu"
"1992","total energy consumed by the residential sector United States","17331937","billion btu"
"1993","total energy consumed by the residential sector United States","18209357","billion btu"
"1994","total energy consumed by the residential sector United States","18093506","billion btu"
"1995","total energy consumed by the residential sector United States","18508903","billion btu"
"1996","total energy consumed by the residential sector United States","19500508","billion btu"
"1997","total energy consumed by the residential sector United States","18957636","billion btu"
"1998","total energy consumed by the residential sector United States","18941595","billion btu"
"1999","total energy consumed by the residential sector United States","19535978","billion btu"
"2000","total energy consumed by the residential sector United States","20384790","billion btu"
"1991","total energy consumed by the residential sector Tennessee","414317","billion btu},"
"1992","total energy consumed by the residential sector Tennessee","415473","billion btu},"
"1993","total energy consumed by the residential sector Tennessee","424536","billion btu},"
"1994","total energy consumed by the residential sector Tennessee","448977","billion btu},"
"1995","total energy consumed by the residential sector Tennessee","429399","billion btu},"
"1996","total energy consumed by the residential sector Tennessee","497264","billion btu},"
"1997","total energy consumed by the residential sector Tennessee","456156","billion btu},"
"1998","total energy consumed by the residential sector Tennessee","479285","billion btu},"
"1999","total energy consumed by the residential sector Tennessee","486573","billion btu},"
"2000","total energy consumed by the residential sector Tennessee","508483","billion btu},"
"2001","total energy consumed by the residential sector Tennessee","502921","billion btu},"
"2002","total energy consumed by the residential sector Tennessee","516675","billion btu},"
"2005","total energy consumed by the residential sector Tennessee","550425","billion btu},"
"2001","total energy consumed by the residential sector United States","20026646","billion btu"
"2002","total energy consumed by the residential sector United States","20763207","billion btu"
"2005","total energy consumed by the residential sector United States","21574410","billion btu"
"2017","total energy consumed by the residential sector Tennessee","496793","billion btu},"
"2017","total energy consumed by the residential sector United States","19861744","billion btu"
"2009","total energy consumed by the residential sector United States","21052360","billion btu"
"2010","total energy consumed by the residential sector United States","21860325","billion btu"
"2007","total energy consumed by the residential sector United States","21489150","billion btu"
"2003","total energy consumed by the residential sector United States","21080842","billion btu"
"2008","total energy consumed by the residential sector United States","21635346","billion btu"
"2008","total energy consumed by the residential sector Tennessee","562751","billion btu},"
"2004","total energy consumed by the residential sector United States","21042686","billion btu"
"2009","total energy consumed by the residential sector Tennessee","534400","billion btu},"
"2011","total energy consumed by the residential sector Tennessee","562714","billion btu},"
"2004","total energy consumed by the residential sector Tennessee","518112","billion btu},"
"2007","total energy consumed by the residential sector Tennessee","565271","billion btu},"
"2012","total energy consumed by the residential sector Tennessee","498076","billion btu},"
"2012","total energy consumed by the residential sector United States","19828618","billion btu"
"2006","total energy consumed by the residential sector Tennessee","542604","billion btu},"
"2011","total energy consumed by the residential sector United States","21345572","billion btu"
"2003","total energy consumed by the residential sector Tennessee","509244","billion btu},"
"2010","total energy consumed by the residential sector Tennessee","604615","billion btu},"
"2006","total energy consumed by the residential sector United States","20631559","billion btu"
"2015","total energy consumed by the residential sector Tennessee","535307","billion btu},"
"2015","total energy consumed by the residential sector United States","20586481","billion btu"
"2019","total energy consumed by the residential sector United States","21042063","billion btu"
"2019","total energy consumed by the residential sector Tennessee","525193","billion btu},"
"2018","total energy consumed by the residential sector Tennessee","563052","billion btu},"
"2018","total energy consumed by the residential sector United States","21486929","billion btu"
"2016","total energy consumed by the residential sector Tennessee","530410","billion btu},"
"2016","total energy consumed by the residential sector United States","20157650","billion btu"
"2020","total energy consumed by the residential sector Tennessee","499770","billion btu},"
"2020","total energy consumed by the residential sector United States","20520596","billion btu"
"2013","total primary energy and electricity consumed by the end-use sectors United States","71441315","billion btu"
"2013","total primary energy and electricity consumed by the end-use sectors Tennessee","1416121","billion btu},"
"2014","total primary energy and electricity consumed by the end-use sectors United States","72476806","billion btu"
"2014","total primary energy and electricity consumed by the end-use sectors Tennessee","1451905","billion btu},"
"2017","total primary energy and electricity consumed by the end-use sectors Tennessee","1422786","billion btu},"
"2015","total primary energy and electricity consumed by the end-use sectors Tennessee","1441713","billion btu},"
"2017","total primary energy and electricity consumed by the end-use sectors United States","73076397","billion btu"
"2011","total primary energy and electricity consumed by the end-use sectors Tennessee","1422325","billion btu},"
"2011","total primary energy and electricity consumed by the end-use sectors United States","70352527","billion btu"
"2010","total primary energy and electricity consumed by the end-use sectors Tennessee","1441712","billion btu},"
"2009","total primary energy and electricity consumed by the end-use sectors Tennessee","1357355","billion btu},"
"2012","total primary energy and electricity consumed by the end-use sectors United States","68821373","billion btu"
"2008","total primary energy and electricity consumed by the end-use sectors United States","71526391","billion btu"
"2009","total primary energy and electricity consumed by the end-use sectors United States","68161396","billion btu"
"2010","total primary energy and electricity consumed by the end-use sectors United States","70688122","billion btu"
"2015","total primary energy and electricity consumed by the end-use sectors United States","72302330","billion btu"
"2012","total primary energy and electricity consumed by the end-use sectors Tennessee","1363771","billion btu},"
"2003","total primary energy and electricity consumed by the end-use sectors United States","71724092","billion btu"
"2004","total primary energy and electricity consumed by the end-use sectors United States","73412854","billion btu"
"2005","total primary energy and electricity consumed by the end-use sectors United States","72965799","billion btu"
"2006","total primary energy and electricity consumed by the end-use sectors United States","72486723","billion btu"
"2007","total primary energy and electricity consumed by the end-use sectors United States","73380290","billion btu"
"2003","total primary energy and electricity consumed by the end-use sectors Tennessee","1505698","billion btu},"
"2004","total primary energy and electricity consumed by the end-use sectors Tennessee","1508759","billion btu},"
"2005","total primary energy and electricity consumed by the end-use sectors Tennessee","1538315","billion btu},"
"2006","total primary energy and electricity consumed by the end-use sectors Tennessee","1521226","billion btu},"
"2007","total primary energy and electricity consumed by the end-use sectors Tennessee","1514925","billion btu},"
"2008","total primary energy and electricity consumed by the end-use sectors Tennessee","1474419","billion btu},"
"2000","total primary energy and electricity consumed by the end-use sectors United States","72289576","billion btu"
"2001","total primary energy and electricity consumed by the end-use sectors United States","70375894","billion btu"
"2002","total primary energy and electricity consumed by the end-use sectors United States","71332227","billion btu"
"1960","total primary energy and electricity consumed by the end-use sectors United States","39224344","billion btu"
"1961","total primary energy and electricity consumed by the end-use sectors United States","39695774","billion btu"
"1962","total primary energy and electricity consumed by the end-use sectors United States","41398648","billion btu"
"1963","total primary energy and electricity consumed by the end-use sectors United States","42812975","billion btu"
"1964","total primary energy and electricity consumed by the end-use sectors United States","44498623","billion btu"
"1965","total primary energy and electricity consumed by the end-use sectors United States","46194564","billion btu"
"1966","total primary energy and electricity consumed by the end-use sectors United States","48493314","billion btu"
"1967","total primary energy and electricity consumed by the end-use sectors United States","49954379","billion btu"
"1968","total primary energy and electricity consumed by the end-use sectors United States","52606337","billion btu"
"1969","total primary energy and electricity consumed by the end-use sectors United States","54881582","billion btu"
"1970","total primary energy and electricity consumed by the end-use sectors United States","56222895","billion btu"
"1971","total primary energy and electricity consumed by the end-use sectors United States","57067591","billion btu"
"1972","total primary energy and electricity consumed by the end-use sectors United States","59637466","billion btu"
"1973","total primary energy and electricity consumed by the end-use sectors United States","61846493","billion btu"
"1974","total primary energy and electricity consumed by the end-use sectors United States","59832940","billion btu"
"1975","total primary energy and electricity consumed by the end-use sectors United States","57648600","billion btu"
"1976","total primary energy and electricity consumed by the end-use sectors United States","60812211","billion btu"
"1977","total primary energy and electricity consumed by the end-use sectors United States","62049307","billion btu"
"1978","total primary energy and electricity consumed by the end-use sectors United States","63298476","billion btu"
"1979","total primary energy and electricity consumed by the end-use sectors United States","63957242","billion btu"
"1980","total primary energy and electricity consumed by the end-use sectors United States","60869359","billion btu"
"1981","total primary energy and electricity consumed by the end-use sectors United States","58932688","billion btu"
"1982","total primary energy and electricity consumed by the end-use sectors United States","56171286","billion btu"
"1983","total primary energy and electricity consumed by the end-use sectors United States","55617603","billion btu"
"1984","total primary energy and electricity consumed by the end-use sectors United States","58720458","billion btu"
"1985","total primary energy and electricity consumed by the end-use sectors United States","58242130","billion btu"
"1986","total primary energy and electricity consumed by the end-use sectors United States","58456908","billion btu"
"1987","total primary energy and electricity consumed by the end-use sectors United States","60401860","billion btu"
"1988","total primary energy and electricity consumed by the end-use sectors United States","63233172","billion btu"
"1989","total primary energy and electricity consumed by the end-use sectors United States","63881447","billion btu"
"1990","total primary energy and electricity consumed by the end-use sectors United States","63200200","billion btu"
"1991","total primary energy and electricity consumed by the end-use sectors United States","62935046","billion btu"
"1992","total primary energy and electricity consumed by the end-use sectors United States","64422863","billion btu"
"1993","total primary energy and electricity consumed by the end-use sectors United States","65198110","billion btu"
"1994","total primary energy and electricity consumed by the end-use sectors United States","66611117","billion btu"
"1995","total primary energy and electricity consumed by the end-use sectors United States","67780782","billion btu"
"1996","total primary energy and electricity consumed by the end-use sectors United States","70089002","billion btu"
"1997","total primary energy and electricity consumed by the end-use sectors United States","70489925","billion btu"
"1998","total primary energy and electricity consumed by the end-use sectors United States","69830978","billion btu"
"1960","total primary energy and electricity consumed by the end-use sectors Tennessee","633594","billion btu},"
"1961","total primary energy and electricity consumed by the end-use sectors Tennessee","656186","billion btu},"
"1962","total primary energy and electricity consumed by the end-use sectors Tennessee","682892","billion btu},"
"1963","total primary energy and electricity consumed by the end-use sectors Tennessee","714323","billion btu},"
"1964","total primary energy and electricity consumed by the end-use sectors Tennessee","733169","billion btu},"
"1965","total primary energy and electricity consumed by the end-use sectors Tennessee","772685","billion btu},"
"1966","total primary energy and electricity consumed by the end-use sectors Tennessee","844222","billion btu},"
"1967","total primary energy and electricity consumed by the end-use sectors Tennessee","848014","billion btu},"
"1968","total primary energy and electricity consumed by the end-use sectors Tennessee","893174","billion btu},"
"1969","total primary energy and electricity consumed by the end-use sectors Tennessee","930216","billion btu},"
"1970","total primary energy and electricity consumed by the end-use sectors Tennessee","935815","billion btu},"
"1971","total primary energy and electricity consumed by the end-use sectors Tennessee","945471","billion btu},"
"1999","total primary energy and electricity consumed by the end-use sectors United States","70837175","billion btu"
"1972","total primary energy and electricity consumed by the end-use sectors Tennessee","1020422","billion btu},"
"1973","total primary energy and electricity consumed by the end-use sectors Tennessee","1111029","billion btu},"
"1974","total primary energy and electricity consumed by the end-use sectors Tennessee","1067493","billion btu},"
"1975","total primary energy and electricity consumed by the end-use sectors Tennessee","1054587","billion btu},"
"1976","total primary energy and electricity consumed by the end-use sectors Tennessee","1125595","billion btu},"
"1977","total primary energy and electricity consumed by the end-use sectors Tennessee","1165914","billion btu},"
"1978","total primary energy and electricity consumed by the end-use sectors Tennessee","1164950","billion btu},"
"1979","total primary energy and electricity consumed by the end-use sectors Tennessee","1204747","billion btu},"
"1980","total primary energy and electricity consumed by the end-use sectors Tennessee","1123350","billion btu},"
"1981","total primary energy and electricity consumed by the end-use sectors Tennessee","1124742","billion btu},"
"1982","total primary energy and electricity consumed by the end-use sectors Tennessee","1080818","billion btu},"
"1983","total primary energy and electricity consumed by the end-use sectors Tennessee","1103645","billion btu},"
"1984","total primary energy and electricity consumed by the end-use sectors Tennessee","1176469","billion btu},"
"1985","total primary energy and electricity consumed by the end-use sectors Tennessee","1172079","billion btu},"
"1986","total primary energy and electricity consumed by the end-use sectors Tennessee","1180977","billion btu},"
"1987","total primary energy and electricity consumed by the end-use sectors Tennessee","1186082","billion btu},"
"1988","total primary energy and electricity consumed by the end-use sectors Tennessee","1226491","billion btu},"
"1989","total primary energy and electricity consumed by the end-use sectors Tennessee","1237812","billion btu},"
"1990","total primary energy and electricity consumed by the end-use sectors Tennessee","1205005","billion btu},"
"1991","total primary energy and electricity consumed by the end-use sectors Tennessee","1189263","billion btu},"
"1992","total primary energy and electricity consumed by the end-use sectors Tennessee","1239309","billion btu},"
"1993","total primary energy and electricity consumed by the end-use sectors Tennessee","1265826","billion btu},"
"1994","total primary energy and electricity consumed by the end-use sectors Tennessee","1301786","billion btu},"
"1995","total primary energy and electricity consumed by the end-use sectors Tennessee","1328757","billion btu},"
"1996","total primary energy and electricity consumed by the end-use sectors Tennessee","1380120","billion btu},"
"1997","total primary energy and electricity consumed by the end-use sectors Tennessee","1373845","billion btu},"
"1998","total primary energy and electricity consumed by the end-use sectors Tennessee","1400253","billion btu},"
"1999","total primary energy and electricity consumed by the end-use sectors Tennessee","1424708","billion btu},"
"2000","total primary energy and electricity consumed by the end-use sectors Tennessee","1443176","billion btu},"
"2001","total primary energy and electricity consumed by the end-use sectors Tennessee","1462332","billion btu},"
"2002","total primary energy and electricity consumed by the end-use sectors Tennessee","1493230","billion btu},"
"2016","total primary energy and electricity consumed by the end-use sectors United States","72445368","billion btu"
"2019","total primary energy and electricity consumed by the end-use sectors United States","76338752","billion btu"
"2019","total primary energy and electricity consumed by the end-use sectors Tennessee","1486447","billion btu},"
"2018","total primary energy and electricity consumed by the end-use sectors Tennessee","1493406","billion btu},"
"2018","total primary energy and electricity consumed by the end-use sectors United States","76177932","billion btu"
"2020","total primary energy and electricity consumed by the end-use sectors Tennessee","1395013","billion btu},"
"2020","total primary energy and electricity consumed by the end-use sectors United States","69935436","billion btu"
"2016","total primary energy and electricity consumed by the end-use sectors Tennessee","1451794","billion btu},"
