"Name","Male_Not_in_Labor_Force_16_T_19","Female_Not_in_Labor_Force_16_T_19","Male_Not_in_Labor_Force_20_T_21","Female_Not_in_Labor_Force_20_T_21","Male_Not_in_Labor_Force_22_T_24","Female_Not_in_Labor_Force_22_T_24","Male_Not_in_Labor_Force_25_T_29","Female_Not_in_Labor_Force_25_T_29","Male_Not_in_Labor_Force_30_T_34","Female_Not_in_Labor_Force_30_T_34","Male_Not_in_Labor_Force_35_T_44","Female_Not_in_Labor_Force_35_T_44","Male_Not_in_Labor_Force_45_T_54","Female_Not_in_Labor_Force_45_T_54","Male_Not_in_Labor_Force_55_T_59","Female_Not_in_Labor_Force_55_T_59","Male_Not_in_Labor_Force_60_T_61","Female_Not_in_Labor_Force_60_T_61","Male_Not_in_Labor_Force_62_T_64","Female_Not_in_Labor_Force_62_T_64","Male_Not_in_Labor_Force_65_T_69","Female_Not_in_Labor_Force_65_T_69","Male_Not_in_Labor_Force_70_T_74","Female_Not_in_Labor_Force_70_T_74","Male_Not_in_Labor_Force_75_or_more","Female_Not_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Not_in_Labor_Force_16_T_19","Not_in_Labor_Force_20_T_21","Not_in_Labor_Force_22_T_24","Not_in_Labor_Force_25_T_29","Not_in_Labor_Force_30_T_34","Not_in_Labor_Force_35_T_44","Not_in_Labor_Force_45_T_54","Not_in_Labor_Force_55_T_59","Not_in_Labor_Force_60_T_61","Not_in_Labor_Force_62_T_64","Not_in_Labor_Force_65_T_69","Not_in_Labor_Force_70_T_74","Not_in_Labor_Force_75_or_more","Year"
"Madison County, Tennessee","1938","1805","705","710","459","565","562","998","563","663","965","1393","1172","1450","982","1381","601","725","746","1045","1754","2221","1222","1769","2315","3895","47","113","47113","3743","1415","1024","1560","1226","2358","2622","2363","1326","1791","3975","2991","6210","2020"
"Marion County, Tennessee","431","349","79","14","68","173","188","212","115","202","140","571","376","698","372","595","104","198","386","519","557","632","568","890","776","1214","47","115","47115","780","93","241","400","317","711","1074","967","302","905","1189","1458","1990","2020"
"Maury County, Tennessee","1323","1187","127","245","156","210","292","1085","240","390","762","1637","923","1438","616","1149","414","770","598","1091","1493","1684","1585","2412","2077","3341","47","119","47119","2510","372","366","1377","630","2399","2361","1765","1184","1689","3177","3997","5418","2020"
"Anderson County, Tennessee","1051","1083","235","258","117","507","190","628","285","809","521","1703","1128","1763","597","1134","429","545","542","787","1073","1297","1168","1417","2239","3850","47","001","47001","2134","493","624","818","1094","2224","2891","1731","974","1329","2370","2585","6089","2010"
"Bedford County, Tennessee","721","573","33","248","110","193","169","637","192","508","574","896","619","658","342","565","159","236","260","371","543","659","508","653","899","1447","47","003","47003","1294","281","303","806","700","1470","1277","907","395","631","1202","1161","2346","2010"
"Benton County, Tennessee","260","203","35","18","7","61","68","106","94","124","58","318","390","443","284","292","149","172","219","192","392","427","390","386","490","798","47","005","47005","463","53","68","174","218","376","833","576","321","411","819","776","1288","2010"
"Bledsoe County, Tennessee","180","169","7","19","44","53","367","59","334","86","619","363","391","332","402","177","160","155","224","189","309","298","235","176","288","427","47","007","47007","349","26","97","426","420","982","723","579","315","413","607","411","715","2010"
"Blount County, Tennessee","1872","1577","327","455","187","296","387","537","197","837","1078","1865","915","2432","1085","1575","574","927","1111","1711","1940","2626","1903","2051","2781","4767","47","009","47009","3449","782","483","924","1034","2943","3347","2660","1501","2822","4566","3954","7548","2010"
"Bradley County, Tennessee","1634","1651","285","595","288","400","348","632","349","985","976","1759","1021","1850","787","1208","428","841","882","1319","1279","1720","1309","1798","1871","3293","47","011","47011","3285","880","688","980","1334","2735","2871","1995","1269","2201","2999","3107","5164","2010"
"Campbell County, Tennessee","704","714","106","226","118","273","188","500","170","362","887","1087","951","1289","501","831","384","295","536","666","870","1105","759","710","986","1690","47","013","47013","1418","332","391","688","532","1974","2240","1332","679","1202","1975","1469","2676","2010"
"Cannon County, Tennessee","171","252","40","45","21","92","22","204","59","99","301","261","240","373","116","257","74","97","170","68","190","210","265","331","319","530","47","015","47015","423","85","113","226","158","562","613","373","171","238","400","596","849","2010"
"Carroll County, Tennessee","601","347","69","78","116","113","91","200","94","134","163","584","347","676","296","281","135","260","284","298","607","654","454","522","853","1425","47","017","47017","948","147","229","291","228","747","1023","577","395","582","1261","976","2278","2010"
"Carter County, Tennessee","860","647","368","268","143","263","330","379","336","505","778","1100","1005","1652","733","1029","384","540","552","631","1089","1149","975","1266","1495","2523","47","019","47019","1507","636","406","709","841","1878","2657","1762","924","1183","2238","2241","4018","2010"
"Cheatham County, Tennessee","546","645","124","71","96","290","159","349","75","297","169","549","427","750","232","428","139","219","265","331","425","561","623","449","580","886","47","021","47021","1191","195","386","508","372","718","1177","660","358","596","986","1072","1466","2010"
"Chester County, Tennessee","341","515","134","251","47","76","67","133","24","111","60","288","274","189","154","179","64","130","143","157","342","261","167","207","376","685","47","023","47023","856","385","123","200","135","348","463","333","194","300","603","374","1061","2010"
"Claiborne County, Tennessee","634","541","168","111","67","283","117","399","149","291","522","930","736","787","514","590","307","329","367","422","670","684","501","696","705","1149","47","025","47025","1175","279","350","516","440","1452","1523","1104","636","789","1354","1197","1854","2010"
"Clay County, Tennessee","109","140","23","29","48","57","28","36","22","14","52","142","97","337","58","154","81","70","92","176","155","290","285","223","238","295","47","027","47027","249","52","105","64","36","194","434","212","151","268","445","508","533","2010"
"Cocke County, Tennessee","520","429","129","71","88","70","96","428","170","288","520","765","891","1230","310","694","226","312","452","494","699","825","561","606","846","1266","47","029","47029","949","200","158","524","458","1285","2121","1004","538","946","1524","1167","2112","2010"
"Coffee County, Tennessee","701","697","154","164","77","329","252","481","155","400","342","1141","453","1154","414","560","294","363","482","646","781","1108","680","972","1266","2096","47","031","47031","1398","318","406","733","555","1483","1607","974","657","1128","1889","1652","3362","2010"
"Crockett County, Tennessee","195","163","10","25","82","52","67","57","72","68","110","356","222","301","113","189","49","54","145","90","202","272","228","220","326","706","47","033","47033","358","35","134","124","140","466","523","302","103","235","474","448","1032","2010"
"Cumberland County, Tennessee","808","446","99","156","147","190","168","456","242","311","398","748","535","1080","870","1103","258","528","911","959","1533","2197","1741","1371","2451","2876","47","035","47035","1254","255","337","624","553","1146","1615","1973","786","1870","3730","3112","5327","2010"
"Davidson County, Tennessee","10169","9896","3624","3724","3134","3669","3318","6744","2061","5414","4895","9000","5945","9740","3733","5569","1815","2872","2628","3758","4933","6827","4581","7382","9661","18645","47","037","47037","20065","7348","6803","10062","7475","13895","15685","9302","4687","6386","11760","11963","28306","2010"
"Decatur County, Tennessee","100","70","33","32","13","27","92","51","13","81","77","151","202","300","138","218","42","141","72","172","350","237","185","309","342","613","47","039","47039","170","65","40","143","94","228","502","356","183","244","587","494","955","2010"
"DeKalb County, Tennessee","281","256","105","105","131","128","122","169","184","212","114","415","277","285","190","246","64","143","128","308","323","328","309","309","417","719","47","041","47041","537","210","259","291","396","529","562","436","207","436","651","618","1136","2010"
"Dickson County, Tennessee","686","907","101","259","51","218","152","345","93","490","394","930","397","1058","317","541","139","299","401","362","687","830","613","754","815","1537","47","043","47043","1593","360","269","497","583","1324","1455","858","438","763","1517","1367","2352","2010"
"Dyer County, Tennessee","794","569","283","184","98","260","162","208","147","432","388","553","423","997","272","598","309","245","318","588","502","445","489","668","729","1495","47","045","47045","1363","467","358","370","579","941","1420","870","554","906","947","1157","2224","2010"
"Fayette County, Tennessee","494","559","145","92","104","61","151","184","186","284","249","663","542","856","272","370","166","162","338","394","708","853","436","585","822","1171","47","047","47047","1053","237","165","335","470","912","1398","642","328","732","1561","1021","1993","2010"
"Fentress County, Tennessee","324","210","38","33","45","228","132","120","37","231","232","422","341","467","311","361","102","132","226","179","319","508","361","323","397","633","47","049","47049","534","71","273","252","268","654","808","672","234","405","827","684","1030","2010"
"Franklin County, Tennessee","732","839","199","274","120","148","57","380","105","284","325","769","419","915","285","604","134","196","339","554","640","826","677","826","1191","1745","47","051","47051","1571","473","268","437","389","1094","1334","889","330","893","1466","1503","2936","2010"
"Gibson County, Tennessee","651","833","61","159","152","270","158","450","96","332","440","720","526","891","420","633","248","264","487","401","628","986","755","917","1410","2432","47","053","47053","1484","220","422","608","428","1160","1417","1053","512","888","1614","1672","3842","2010"
"Giles County, Tennessee","711","462","75","186","172","65","83","146","1","189","267","580","578","735","216","464","168","288","361","321","600","787","403","441","726","1185","47","055","47055","1173","261","237","229","190","847","1313","680","456","682","1387","844","1911","2010"
"Grainger County, Tennessee","238","246","44","39","18","94","91","234","50","180","331","491","414","568","391","364","131","241","243","329","512","553","270","478","489","687","47","057","47057","484","83","112","325","230","822","982","755","372","572","1065","748","1176","2010"
"Greene County, Tennessee","873","932","104","254","187","400","281","409","314","371","686","1431","1215","1597","873","1189","495","446","743","945","1224","1623","1169","1515","1596","2840","47","059","47059","1805","358","587","690","685","2117","2812","2062","941","1688","2847","2684","4436","2010"
"Grundy County, Tennessee","286","198","102","54","57","109","103","198","89","127","273","407","340","366","244","315","99","72","112","152","203","363","277","234","334","542","47","061","47061","484","156","166","301","216","680","706","559","171","264","566","511","876","2010"
"Hamblen County, Tennessee","788","807","115","131","91","427","300","438","124","725","365","1028","802","1523","440","814","266","391","510","689","886","1456","870","996","1472","2545","47","063","47063","1595","246","518","738","849","1393","2325","1254","657","1199","2342","1866","4017","2010"
"Hamilton County, Tennessee","4723","4690","1087","1414","869","1303","1031","1949","628","2383","2017","4932","3732","6271","2540","4152","1523","2410","2063","2378","4044","5528","3495","5229","7223","13803","47","065","47065","9413","2501","2172","2980","3011","6949","10003","6692","3933","4441","9572","8724","21026","2010"
"Hancock County, Tennessee","120","63","19","59","10","13","74","44","52","87","165","148","275","293","159","177","44","76","67","100","129","163","121","133","192","288","47","067","47067","183","78","23","118","139","313","568","336","120","167","292","254","480","2010"
"Hardeman County, Tennessee","527","386","211","41","475","211","788","195","665","168","1139","536","977","561","287","399","244","165","278","233","490","558","343","450","540","980","47","069","47069","913","252","686","983","833","1675","1538","686","409","511","1048","793","1520","2010"
"Hardin County, Tennessee","355","267","57","182","14","66","155","187","111","144","264","736","459","673","341","633","221","214","249","237","648","562","365","522","699","1137","47","071","47071","622","239","80","342","255","1000","1132","974","435","486","1210","887","1836","2010"
"Hawkins County, Tennessee","845","715","80","265","74","271","143","417","151","587","506","1092","934","1509","641","1123","456","269","695","822","1154","1388","1068","1036","1284","2155","47","073","47073","1560","345","345","560","738","1598","2443","1764","725","1517","2542","2104","3439","2010"
"Haywood County, Tennessee","391","252","26","69","109","60","79","106","30","36","128","326","392","464","87","241","124","146","98","213","199","415","171","252","374","722","47","075","47075","643","95","169","185","66","454","856","328","270","311","614","423","1096","2010"
"Henderson County, Tennessee","255","300","80","43","46","191","110","334","40","205","320","597","379","554","237","438","76","90","220","354","469","538","362","522","619","1047","47","077","47077","555","123","237","444","245","917","933","675","166","574","1007","884","1666","2010"
"Henry County, Tennessee","379","547","60","73","74","147","138","126","93","164","291","518","473","714","483","489","148","203","281","430","680","707","753","717","899","1558","47","079","47079","926","133","221","264","257","809","1187","972","351","711","1387","1470","2457","2010"
"Hickman County, Tennessee","481","444","67","50","105","67","243","158","304","193","543","492","707","450","227","409","183","118","143","230","281","423","351","307","482","732","47","081","47081","925","117","172","401","497","1035","1157","636","301","373","704","658","1214","2010"
"Houston County, Tennessee","211","124","29","9","43","22","0","74","28","78","65","185","169","246","58","143","17","79","124","119","172","196","151","170","233","381","47","083","47083","335","38","65","74","106","250","415","201","96","243","368","321","614","2010"
"Humphreys County, Tennessee","317","332","40","54","26","34","50","198","48","95","38","296","209","523","295","308","72","142","204","163","441","420","217","316","432","745","47","085","47085","649","94","60","248","143","334","732","603","214","367","861","533","1177","2010"
"Jackson County, Tennessee","123","211","18","17","17","12","0","110","87","100","194","237","301","399","118","230","162","169","137","210","181","294","292","208","317","448","47","087","47087","334","35","29","110","187","431","700","348","331","347","475","500","765","2010"
"Jefferson County, Tennessee","739","937","136","254","238","133","101","341","135","200","454","959","666","1260","533","576","295","419","368","786","983","1233","802","848","982","1630","47","089","47089","1676","390","371","442","335","1413","1926","1109","714","1154","2216","1650","2612","2010"
"Johnson County, Tennessee","203","213","66","79","108","17","233","55","391","224","511","283","673","412","300","342","168","205","258","245","410","438","419","290","444","823","47","091","47091","416","145","125","288","615","794","1085","642","373","503","848","709","1267","2010"
"Knox County, Tennessee","7633","7327","2715","3289","1456","2663","1312","3357","1227","2948","2511","7579","3626","7969","2711","4362","1474","2288","2464","3770","5260","7049","4540","5852","8302","15379","47","093","47093","14960","6004","4119","4669","4175","10090","11595","7073","3762","6234","12309","10392","23681","2010"
"Lake County, Tennessee","158","80","160","91","206","32","350","38","439","26","678","227","423","79","163","130","54","36","142","51","42","107","101","163","178","251","47","095","47095","238","251","238","388","465","905","502","293","90","193","149","264","429","2010"
"Lauderdale County, Tennessee","610","336","187","104","479","52","660","419","517","205","988","370","727","661","211","348","90","149","264","315","296","403","314","468","474","858","47","097","47097","946","291","531","1079","722","1358","1388","559","239","579","699","782","1332","2010"
"Lawrence County, Tennessee","713","443","60","224","67","265","120","337","103","322","441","704","551","908","387","426","218","289","377","612","803","791","554","916","977","1775","47","099","47099","1156","284","332","457","425","1145","1459","813","507","989","1594","1470","2752","2010"
"Lewis County, Tennessee","176","245","36","65","0","28","56","45","26","40","177","248","180","212","138","193","37","105","142","155","181","253","226","200","266","486","47","101","47101","421","101","28","101","66","425","392","331","142","297","434","426","752","2010"
"Lincoln County, Tennessee","426","525","115","96","42","64","35","190","122","295","328","637","389","712","273","449","78","147","337","271","334","666","575","825","844","1391","47","103","47103","951","211","106","225","417","965","1101","722","225","608","1000","1400","2235","2010"
"Loudon County, Tennessee","652","645","179","93","45","75","113","170","127","260","164","736","499","1020","386","818","339","313","724","824","1230","1237","1063","1323","1362","2175","47","105","47105","1297","272","120","283","387","900","1519","1204","652","1548","2467","2386","3537","2010"
"McMinn County, Tennessee","586","608","150","197","78","152","114","353","216","579","557","1339","496","1357","611","842","307","534","597","513","946","1160","803","840","1351","2206","47","107","47107","1194","347","230","467","795","1896","1853","1453","841","1110","2106","1643","3557","2010"
"McNairy County, Tennessee","390","370","56","110","31","138","57","166","118","229","246","419","450","756","272","392","160","278","406","384","499","630","406","444","644","1075","47","109","47109","760","166","169","223","347","665","1206","664","438","790","1129","850","1719","2010"
"Macon County, Tennessee","420","398","73","0","67","116","91","113","76","206","166","458","412","661","199","368","153","214","289","191","360","459","230","296","411","776","47","111","47111","818","73","183","204","282","624","1073","567","367","480","819","526","1187","2010"
"Madison County, Tennessee","1937","1605","399","546","295","371","276","837","379","613","669","1352","799","1988","746","1128","267","541","706","921","1102","1618","983","1276","1967","3490","47","113","47113","3542","945","666","1113","992","2021","2787","1874","808","1627","2720","2259","5457","2010"
"Marion County, Tennessee","414","406","189","98","53","121","75","221","135","354","257","489","354","866","462","474","221","237","273","413","574","508","421","691","560","974","47","115","47115","820","287","174","296","489","746","1220","936","458","686","1082","1112","1534","2010"
"Marshall County, Tennessee","348","403","42","191","89","52","95","250","42","354","273","433","322","661","206","458","112","187","321","294","400","381","313","533","554","999","47","117","47117","751","233","141","345","396","706","983","664","299","615","781","846","1553","2010"
"Maury County, Tennessee","1303","1096","188","262","177","219","286","622","328","555","523","1119","985","1790","692","1156","248","410","602","757","838","1145","962","1222","1486","2706","47","119","47119","2399","450","396","908","883","1642","2775","1848","658","1359","1983","2184","4192","2010"
"Meigs County, Tennessee","155","132","0","53","43","142","27","143","56","199","123","216","198","313","124","176","130","135","102","167","246","307","179","170","287","354","47","121","47121","287","53","185","170","255","339","511","300","265","269","553","349","641","2010"
"Monroe County, Tennessee","594","529","56","214","45","49","194","262","153","392","570","757","807","1091","530","716","265","446","504","813","894","852","798","991","926","1468","47","123","47123","1123","270","94","456","545","1327","1898","1246","711","1317","1746","1789","2394","2010"
"Montgomery County, Tennessee","2698","2921","731","1014","599","1202","810","2024","429","1912","1152","3192","1458","3371","814","1389","201","648","633","1435","1413","1783","1284","1867","1998","3050","47","125","47125","5619","1745","1801","2834","2341","4344","4829","2203","849","2068","3196","3151","5048","2010"
"Moore County, Tennessee","93","28","12","19","28","23","25","0","0","18","38","26","50","82","36","58","33","45","81","77","155","139","91","139","138","251","47","127","47127","121","31","51","25","18","64","132","94","78","158","294","230","389","2010"
"Morgan County, Tennessee","201","245","35","43","280","150","429","196","409","152","646","365","700","560","264","394","110","167","273","228","362","437","316","331","435","674","47","129","47129","446","78","430","625","561","1011","1260","658","277","501","799","647","1109","2010"
"Obion County, Tennessee","357","376","95","126","111","94","123","221","103","131","285","430","356","723","269","526","149","397","285","260","604","702","414","551","805","1372","47","131","47131","733","221","205","344","234","715","1079","795","546","545","1306","965","2177","2010"
"Overton County, Tennessee","317","309","78","93","89","43","70","63","145","234","266","450","397","560","261","476","142","214","281","229","284","473","442","464","510","829","47","133","47133","626","171","132","133","379","716","957","737","356","510","757","906","1339","2010"
"Perry County, Tennessee","107","136","15","13","0","55","55","65","41","60","134","190","143","240","69","175","51","30","126","122","211","144","144","146","212","295","47","135","47135","243","28","55","120","101","324","383","244","81","248","355","290","507","2010"
"Pickett County, Tennessee","37","51","2","9","10","11","0","60","0","6","35","26","31","75","79","160","23","36","64","40","69","78","84","91","163","308","47","137","47137","88","11","21","60","6","61","106","239","59","104","147","175","471","2010"
"Polk County, Tennessee","242","217","24","23","10","52","15","273","24","91","155","321","326","512","127","328","159","156","314","327","350","327","286","358","389","626","47","139","47139","459","47","62","288","115","476","838","455","315","641","677","644","1015","2010"
"Putnam County, Tennessee","2049","1651","1059","986","366","408","366","781","152","581","644","1215","819","1537","448","991","427","460","664","747","981","1389","944","1137","1612","2602","47","141","47141","3700","2045","774","1147","733","1859","2356","1439","887","1411","2370","2081","4214","2010"
"Rhea County, Tennessee","415","594","112","103","62","143","162","279","169","171","327","751","473","816","300","392","148","294","236","356","543","698","518","534","701","1152","47","143","47143","1009","215","205","441","340","1078","1289","692","442","592","1241","1052","1853","2010"
"Roane County, Tennessee","758","642","53","139","143","185","158","379","140","387","446","1100","1075","1472","747","805","207","390","719","816","1054","1427","720","1053","1638","2509","47","145","47145","1400","192","328","537","527","1546","2547","1552","597","1535","2481","1773","4147","2010"
"Robertson County, Tennessee","1110","1079","55","197","150","214","292","582","113","659","386","1113","526","1353","450","793","244","262","384","538","896","961","692","899","1022","1714","47","147","47147","2189","252","364","874","772","1499","1879","1243","506","922","1857","1591","2736","2010"
"Rutherford County, Tennessee","4295","4169","1136","1827","755","1244","880","1814","719","1952","1315","4308","1488","4152","1126","1979","488","901","1455","1979","2151","2784","1898","2333","2865","4981","47","149","47149","8464","2963","1999","2694","2671","5623","5640","3105","1389","3434","4935","4231","7846","2010"
"Scott County, Tennessee","336","435","20","34","114","146","131","229","34","171","295","537","401","720","206","298","150","148","227","262","432","351","293","434","415","728","47","151","47151","771","54","260","360","205","832","1121","504","298","489","783","727","1143","2010"
"Sequatchie County, Tennessee","162","180","35","31","0","13","43","152","93","165","405","472","182","442","78","167","56","90","165","122","267","428","146","150","294","449","47","153","47153","342","66","13","195","258","877","624","245","146","287","695","296","743","2010"
"Sevier County, Tennessee","1245","830","65","185","184","367","222","513","115","630","574","1111","808","1659","642","956","434","551","807","969","1593","1781","1085","1614","1755","2817","47","155","47155","2075","250","551","735","745","1685","2467","1598","985","1776","3374","2699","4572","2010"
"Shelby County, Tennessee","17453","17333","3694","3657","3897","4901","5199","7197","3568","7452","7758","14934","10848","17325","6223","9831","2943","3853","4702","6453","7199","11925","6974","10405","13015","26513","47","157","47157","34786","7351","8798","12396","11020","22692","28173","16054","6796","11155","19124","17379","39528","2010"
"Smith County, Tennessee","341","281","23","73","26","17","47","220","42","194","337","265","374","415","195","301","186","133","129","163","279","427","209","216","376","681","47","159","47159","622","96","43","267","236","602","789","496","319","292","706","425","1057","2010"
"Stewart County, Tennessee","178","175","0","33","0","21","49","135","24","107","133","335","250","298","199","229","61","149","202","197","245","327","267","190","333","526","47","161","47161","353","33","21","184","131","468","548","428","210","399","572","457","859","2010"
"Sullivan County, Tennessee","2130","2118","384","585","410","752","370","866","436","1021","1378","2832","2229","3795","1631","2420","943","1639","1669","1701","2782","3587","2793","3505","4310","7639","47","163","47163","4248","969","1162","1236","1457","4210","6024","4051","2582","3370","6369","6298","11949","2010"
"Sumner County, Tennessee","1820","2143","352","249","185","368","360","1160","208","1163","1013","3014","1330","2843","676","2041","589","992","1012","1656","1886","2491","1841","2374","2647","4603","47","165","47165","3963","601","553","1520","1371","4027","4173","2717","1581","2668","4377","4215","7250","2010"
"Tipton County, Tennessee","1249","1093","59","129","57","186","185","518","331","488","554","1144","749","1293","409","565","77","320","395","546","689","805","734","886","772","1522","47","167","47167","2342","188","243","703","819","1698","2042","974","397","941","1494","1620","2294","2010"
"Trousdale County, Tennessee","135","58","15","0","0","0","0","65","41","71","32","162","84","206","116","93","20","41","33","71","62","180","193","84","112","269","47","169","47169","193","15","0","65","112","194","290","209","61","104","242","277","381","2010"
"Unicoi County, Tennessee","278","281","64","62","50","71","130","120","44","131","138","243","417","450","163","259","144","129","296","236","318","436","395","498","535","973","47","171","47171","559","126","121","250","175","381","867","422","273","532","754","893","1508","2010"
"Union County, Tennessee","409","324","56","95","19","49","79","242","11","111","267","615","321","618","208","310","123","83","285","447","333","477","317","294","323","529","47","173","47173","733","151","68","321","122","882","939","518","206","732","810","611","852","2010"
"Van Buren County, Tennessee","131","110","0","7","16","5","48","7","21","109","49","157","138","112","105","106","27","18","83","63","107","182","133","81","129","179","47","175","47175","241","7","21","55","130","206","250","211","45","146","289","214","308","2010"
"Warren County, Tennessee","543","629","71","143","156","247","160","628","178","718","501","861","351","885","316","443","282","348","272","429","517","761","598","731","918","1478","47","177","47177","1172","214","403","788","896","1362","1236","759","630","701","1278","1329","2396","2010"
"Washington County, Tennessee","1840","1617","655","855","690","506","795","1144","345","1032","894","2111","1666","2575","1451","1606","584","805","1118","1288","2159","2165","1201","2220","2824","4797","47","179","47179","3457","1510","1196","1939","1377","3005","4241","3057","1389","2406","4324","3421","7621","2010"
"Wayne County, Tennessee","392","169","144","27","155","77","469","174","389","51","613","264","571","311","209","291","155","138","201","225","288","386","239","296","411","667","47","181","47181","561","171","232","643","440","877","882","500","293","426","674","535","1078","2010"
"Weakley County, Tennessee","954","957","511","161","261","349","160","242","96","111","259","656","411","734","397","412","97","186","294","454","486","495","539","585","788","1470","47","183","47183","1911","672","610","402","207","915","1145","809","283","748","981","1124","2258","2010"
"White County, Tennessee","409","268","73","82","33","160","14","243","126","264","234","510","309","494","220","368","80","257","311","202","468","535","377","562","691","1004","47","185","47185","677","155","193","257","390","744","803","588","337","513","1003","939","1695","2010"
"Williamson County, Tennessee","2991","2494","497","441","184","436","173","990","203","1659","600","4853","749","4179","756","1841","489","888","751","1388","1640","2016","1185","1750","2288","3989","47","187","47187","5485","938","620","1163","1862","5453","4928","2597","1377","2139","3656","2935","6277","2010"
"Wilson County, Tennessee","1791","1375","345","206","288","463","229","728","251","744","433","1969","731","2483","569","1234","538","605","864","1103","1354","1740","1371","1522","1692","2774","47","189","47189","3166","551","751","957","995","2402","3214","1803","1143","1967","3094","2893","4466","2010"
