"Regular_Highways_IG_to_State","Regular_Highways_IG_Local_Nec","Toll_Highways_Current_Oper","Toll_Highways_Construction","Toll_Highways_Other_Cap_Outlay","Transit_Utilities_Revenue","Transit_Utilities_Current_Op","Transit_Utilities_Construction","Transit_Utilities_Other_Cap_Out","Transit_Utilites_IG_to_State","Transit_Utilities_IG_Local_Nec","Air_Transportation_Charges","Air_Trans_IG_to_State","Water_Trans_and_Terminal_Charges","Water_Transport_Current_Oper","Water_Transport_Construction","Water_Transport_Other_Cap_Out","Water_Transport_IG_to_State","Water_Transport_IG_Local_Nec","Regular_Highway_Charges","Toll_Highway_Charges","Air_Trans_Current_Operation","Regular_Highways_Current_Oper","Air_Trans_Construction","Regular_Highways_Construction","Air_Trans_Other_Capital_Outlay","Regular_Highways_Other_Cap_Out","Air_Trans_IG_to_Local_NEC","County_FIPS","Year","Units"
"","","","","","","","","","","","","","","","","","","","63","42","52334","562300","22","1219973","344","83093","20565","47000","2020","Amount_in_thousands_of_dollars"
,,,,,,"226",,,,,,,,,,,,,,,,"9537",,"162",,"521",,"47001","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"31",,"582","4061","2967","1332",,"1138",,"47003","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"156","1081",,"4978",,,,"47005","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"1900",,"952",,,,"47007","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"120",,,"13966",,"2470",,"1590",,"47009","2020","Amount_in_thousands_of_dollars"
,,,,,,"941",,,,"42","233",,,,,,,,,,"224","9054",,"2896","159","4477",,"47011","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"125",,,,,,,,,,"60","2313",,"2300",,"1105",,"47013","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"1039",,,,,,"47015","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"267",,"119",,,,"47017","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"145","5423",,"4204",,"164",,"47019","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"3316",,,,,,"47021","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"2375",,"1127",,"847",,"47025","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"1645",,,,,,"47027","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"1255",,"197",,"218",,"47029","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"6562",,"1097",,"123","143","47031","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"44",,"180",,,,"47033","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"116",,,,,,,,"4",,"127","3904",,"375","371","1116",,"47035","2020","Amount_in_thousands_of_dollars"
,,,,,"14774","102331","1249","9423",,,"182131",,,,,,,,,,"96436","41155","452226","65190","19415","1406",,"47037","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"47",,,,,,"47039","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"108",,,,,,,,,,"87","283",,,"380",,,"47041","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"25","7462",,,,"1549","55","47043","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,"310","200",,,,,,,"492","3168",,,"169","94",,"47045","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"33",,"6",,,,"47047","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"586",,,,,,,,,,"894",,,,"82",,,"47051","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"3270",,"656",,"62",,"47053","2020","Amount_in_thousands_of_dollars"
,,"1510","44","14",,,,,,,,,,,,,,,"6",,,"6954",,"735",,,,"47059","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"197",,,,,,,,,,"462","8675",,,,"1105",,"47063","2020","Amount_in_thousands_of_dollars"
,,,,,"25514","55779",,"6329",,"105","51144",,,,,,,,,,"33828","40159","12464",,"4532","987",,"47065","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"24",,,,,,,,,,"106","2984",,,,,,"47069","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"77","5262",,,,,,"47071","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"5",,"86","5504",,"1071",,"162",,"47073","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"482",,"116",,"11",,"47075","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"57",,,,,,,,"92",,"242","3659","123",,,"1366",,"47077","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"34",,,,,,,,,,"1648","6208",,"2952","10","201",,"47079","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"48",,,,,,,,"7",,"118","2942",,"1215","48","1018",,"47081","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"405",,,,"432",,"47085","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"24",,,,,,,,,,"56","2600",,,,,,"47087","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"111",,,"6036",,"1466",,"260",,"47089","2020","Amount_in_thousands_of_dollars"
,,,,,"1651","30038",,,,,"29779",,,,,,,,,,"22450","26704","32727",,"3546","2978",,"47093","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"1031",,"972",,,,"47097","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"2445",,"135",,,,"47099","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"40","1528",,"9",,"185",,"47103","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"31",,,"4722",,"2289",,"484",,"47105","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"49","4830",,"2765",,,,"47107","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"149",,,,,,,,,,"201",,,,"1",,,"47109","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"108","632",,,,,"47111","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,"3405",,,,,,,,,,,,"9383",,"349",,"5273","165","47113","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"59",,,,,,,,"68",,"206","3095","126","124",,"1376",,"47115","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"282",,,,,,,,"11",,"335","3166",,"798",,"436",,"47117","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"21",,"56","13031",,"4989",,"1131",,"47119","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"266",,,,,,,,"252",,"520","4374",,"3299",,"65",,"47123","2020","Amount_in_thousands_of_dollars"
,,,,,"698","7921",,,,,,,,,,,,,,,"276","20280",,"1647",,"1148",,"47125","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"644",,"136",,"15",,"47127","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"2824",,,,,,"47129","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"547",,,,,,,,,,"535","4600",,,,,"29","47131","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"515",,,,,,,"47133","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"18",,"28","8463",,,,"1051",,"47141","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"170",,,,,,,,,,"198","942","56","117",,,,"47143","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"15",,,"2360",,"1203",,"226",,"47145","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,"71",,,"6073",,"1189",,"1180",,"47147","2020","Amount_in_thousands_of_dollars"
,,,,,"78","2817","56","250",,,"2034",,,,,,,,,,"1794","20390","3541","15511","24","1596",,"47149","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"807",,,,,,"47151","2020","Amount_in_thousands_of_dollars"
,,,,,"876","4397",,"1634",,,,,,,,,,,,,,"19033","31","1571",,"3480",,"47155","2020","Amount_in_thousands_of_dollars"
,,,,,"5500","58806","8242","1605",,,"104776","48","2192","1146",,"112",,,"1226",,"72412","61536","126519","69465","3752","12447","16333","47157","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"2375",,,,"153",,"47159","2020","Amount_in_thousands_of_dollars"
,,,,,"134","3618",,"163",,,"10014",,,,,,,,"308",,"7050","18398","7868","1983","100","588","376","47163","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"259",,,,,,,,,,"319","83009","476","14268",,"1070",,"47165","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"2","591",,"502",,,,"47167","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"847",,,,,,"47169","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"191",,,,,,"47173","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"1163",,,,"346",,"47177","2020","Amount_in_thousands_of_dollars"
,,,,,"448","3735",,,,,,,,,,,,,,,,"20942",,,,,,"47179","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,,"4057",,,,"1022",,"47183","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,,,,,,,,,,,"53","752",,,,,,"47185","2020","Amount_in_thousands_of_dollars"
,,,,,"63","2446",,"165",,,,,,,,,,,,,,"32994",,"9772",,"1063",,"47187","2020","Amount_in_thousands_of_dollars"
,,,,,,,,,,,"19",,,,,,,,"268",,"326","14714","1005","9642","34","1305",,"47189","2020","Amount_in_thousands_of_dollars"
