"Name","Enrolled_in_School","Not_Enrolled_in_School","Below_Poverty_Status","Median_Income","Male_Employee_of_a_Private_Company","Female_Employee_of_a_Private_Company","Male_Self_employed_in_own_incorporated_business","Female_Self_employed_in_own_incorporated_business","Male_Private_not_for_profit_wage_and_salary","Female_Private_not_for_profit_wage_and_salary","Male_Local_Government","Female_Local_Government","Male_State_Government","Female_State_Government","Male_Federal_Government","Female_Federal_Government","Male_Self_employed_in_own_not_incorporated_business","Female_Self_employed_in_own_not_incorporated_business","Male_Unpaid_family","Female_Unpaid_family","Male_35_hours_or_more","Female_35_hours_or_more","Male_15_T_34_hours","Female_15_T_34_hours","Male_1_T_14_hours","Female_1_T_14_hours","Male_No_Hours","Female_No_Hours","STATEFP","COUNTYFP","STATE_FIPS","Employee_of_a_Private_Company","Self_employed_in_own_incorporated_business","Private_not_for_profit_wage_and_salary","Local_Government","State_Government","Federal_Government","Self_employed_in_own_not_incorporated_business","Unpaid_family","Worked_35_hours_or_more","Worked_15_T_34_hours","Worked_1_T_14_hours","Worked_No_Hours","Year"
"Meigs County, Tennessee","2205","9692","1852","23032","2161","1298","20","47","84","148","100","207","37","108","110","55","203","105","19","0","2600","1491","242","680","40","93","764","1495","47","121","47121","3459","67","232","307","145","165","308","19","4091","922","133","2259","2020"
"Montgomery County, Tennessee","57366","137446","24675","31258","28525","28129","1284","682","1418","2513","3436","4885","1671","1865","4096","2892","2522","1745","67","50","49128","34772","5342","12003","1445","1903","12361","19385","47","125","47125","56654","1966","3931","8321","3536","6988","4267","117","83900","17345","3348","31746","2020"
"Moore County, Tennessee","1260","4883","505","31094","1027","922","50","4","35","5","92","116","79","66","3","43","234","113","0","0","1319","1100","133","178","29","85","464","664","47","127","47127","1949","54","40","208","145","46","347","0","2419","311","114","1128","2020"
"Obion County, Tennessee","6057","23125","5673","24312","4588","4114","144","82","283","489","387","550","283","442","50","50","779","310","19","43","5715","4512","635","1367","274","295","2308","3156","47","131","47131","8702","226","772","937","725","100","1089","62","10227","2002","569","5464","2020"
"Overton County, Tennessee","4484","16840","4200","23377","3055","3215","160","36","238","332","286","402","114","115","153","118","915","319","76","11","4198","3596","590","814","190","208","1600","2185","47","133","47133","6270","196","570","688","229","271","1234","87","7794","1404","398","3785","2020"
"Pickett County, Tennessee","616","4314","966","23716","599","519","0","0","55","34","72","91","51","111","118","0","176","42","0","0","933","565","103","277","15","0","363","525","47","137","47137","1118","0","89","163","162","118","218","0","1498","380","15","888","2020"
"Polk County, Tennessee","2949","13304","2046","25335","2847","2212","36","38","152","353","368","420","109","182","80","16","433","101","0","4","3975","2740","247","689","85","239","1021","1451","47","139","47139","5059","74","505","788","291","96","534","4","6715","936","324","2472","2020"
"Rhea County, Tennessee","7503","24200","5449","24581","4717","3687","196","98","390","640","498","756","389","187","491","195","517","266","4","0","6478","4385","834","1429","320","377","2575","4014","47","143","47143","8404","294","1030","1254","576","686","783","4","10863","2263","697","6589","2020"
"Roane County, Tennessee","10549","41583","7117","28840","8049","6739","306","193","455","1350","863","1066","344","468","1118","389","944","621","23","41","10515","7699","1364","2878","276","393","4021","5573","47","145","47145","14788","499","1805","1929","812","1507","1565","64","18214","4242","669","9594","2020"
"Rutherford County, Tennessee","88737","222823","32953","34261","67866","57382","2120","1243","3688","6388","4109","6394","3195","4568","2216","2048","6524","4004","84","106","80013","64114","11270","18701","2534","3541","14363","24696","47","149","47149","125248","3363","10076","10503","7763","4264","10528","190","144127","29971","6075","39059","2020"
"Scott County, Tennessee","4811","16346","4734","20376","3100","2718","160","87","94","143","258","586","110","245","90","172","275","121","44","0","4253","3087","213","1043","101","197","2262","2581","47","151","47151","5818","247","237","844","355","262","396","44","7340","1256","298","4843","2020"
"Sequatchie County, Tennessee","2525","11921","3174","23270","2362","1704","110","71","115","216","303","363","93","87","116","38","325","230","4","0","2731","1852","509","719","42","145","1610","1785","47","153","47153","4066","181","331","666","180","154","555","4","4583","1228","187","3395","2020"
"Shelby County, Tennessee","236788","661398","174362","30203","156726","147135","6811","2747","14605","25213","12651","19234","3921","7620","5690","6878","13291","8276","357","528","183832","171941","29319","44453","7047","11264","65891","87748","47","157","47157","303861","9558","39818","31885","11541","12568","21567","885","355773","73772","18311","153639","2020"
"Smith County, Tennessee","4138","15052","2904","29468","3734","2843","91","55","95","382","355","402","103","301","20","57","405","187","0","0","4280","3494","453","702","37","175","1657","1908","47","159","47159","6577","146","477","757","404","77","592","0","7774","1155","212","3565","2020"
"Sullivan County, Tennessee","30257","122861","24071","25607","26239","21710","932","492","1743","3415","1859","2973","810","1362","622","318","3127","1596","40","58","31208","24029","4831","8075","926","1862","10671","14834","47","163","47163","47949","1424","5158","4832","2172","940","4723","98","55237","12906","2788","25505","2020"
"Sumner County, Tennessee","43560","138078","18421","33701","35414","31511","2023","801","2012","4262","3307","4323","1079","1722","1032","544","4394","2194","74","78","43301","34345","4752","9264","1432","2893","8826","13953","47","165","47165","66925","2824","6274","7630","2801","1576","6588","152","77646","14016","4325","22779","2020"
"Trousdale County, Tennessee","2419","8172","918","29813","1864","1451","37","17","253","107","107","219","108","119","105","36","98","196","30","0","2360","1671","394","374","102","65","2102","597","47","169","47169","3315","54","360","326","227","141","294","30","4031","768","167","2699","2020"
"Unicoi County, Tennessee","3247","14257","3039","22185","3028","1994","154","46","149","580","481","293","63","145","189","59","310","115","0","0","3697","2821","552","521","101","88","1407","1875","47","171","47171","5022","200","729","774","208","248","425","0","6518","1073","189","3282","2020"
"Van Buren County, Tennessee","1145","4503","856","23918","734","690","61","33","29","75","247","158","49","113","0","33","98","71","0","15","1122","895","81","247","15","54","525","558","47","175","47175","1424","94","104","405","162","33","169","15","2017","328","69","1083","2020"
"Warren County, Tennessee","8599","30762","8146","24610","6811","5449","344","214","334","367","529","967","359","390","39","113","1370","463","41","0","8465","6233","1261","1766","124","340","3051","4210","47","177","47177","12260","558","701","1496","749","152","1833","41","14698","3027","464","7261","2020"
"Wayne County, Tennessee","2813","13432","2356","23679","2099","1807","205","0","94","167","257","530","124","107","95","37","441","131","39","18","3120","2188","898","684","81","133","2284","1496","47","181","47181","3906","205","261","787","231","132","572","57","5308","1582","214","3780","2020"
"Weakley County, Tennessee","8744","23504","6146","23272","5268","4398","120","78","194","560","577","763","622","714","176","31","570","200","7","25","6516","5114","1221","1629","183","458","2800","3691","47","183","47183","9666","198","754","1340","1336","207","770","32","11630","2850","641","6491","2020"
"Williamson County, Tennessee","65284","159511","10768","49190","46984","33394","3549","2087","4354","6281","1971","4732","1389","1247","630","531","6076","4501","81","130","55403","36394","6833","13266","2088","5223","7978","19838","47","187","47187","80378","5636","10635","6703","2636","1161","10577","211","91797","20099","7311","27816","2020"
"Wilson County, Tennessee","33294","102198","11497","37083","27029","23376","1660","712","2125","2761","1799","2789","1187","1162","736","584","2620","1656","23","68","32812","25736","3737","6717","731","1549","6844","11131","47","189","47189","50405","2372","4886","4588","2349","1320","4276","91","58548","10454","2280","17975","2020"
"Bedford County, Tennessee","11172","36057","6666","27966","9009","7543","279","164","340","498","1191","914","286","498","193","140","861","535","11","55","10939","8458","1138","1886","220","426","2932","4483","47","003","47003","16552","443","838","2105","784","333","1396","66","19397","3024","646","7415","2020"
"Blount County, Tennessee","26298","101681","12629","30471","23409","20231","1209","554","1931","3334","1958","3019","627","843","507","446","2382","1208","53","68","26872","22044","5015","6982","858","1381","7500","11328","47","009","47009","43640","1763","5265","4977","1470","953","3590","121","48916","11997","2239","18828","2020"
"Cannon County, Tennessee","2862","11041","2343","28087","2189","1928","109","67","49","144","186","395","216","112","66","121","564","158","0","0","2951","2352","362","621","118","81","1207","1377","47","015","47015","4117","176","193","581","328","187","722","0","5303","983","199","2584","2020"
"Cheatham County, Tennessee","8664","30514","4293","32364","7609","6122","233","227","367","706","641","781","383","770","371","111","1150","623","3","9","9640","7410","1021","1947","237","450","2391","3566","47","021","47021","13731","460","1073","1422","1153","482","1773","12","17050","2968","687","5957","2020"
"Clay County, Tennessee","1424","5996","1955","18644","844","833","37","44","84","49","165","222","64","72","23","0","202","52","0","17","1111","889","252","366","40","100","762","864","47","027","47027","1677","81","133","387","136","23","254","17","2000","618","140","1626","2020"
"Crockett County, Tennessee","3384","10455","2248","26626","2128","2111","98","30","69","219","220","240","129","279","24","17","451","200","6","0","2798","2571","290","470","82","92","984","1292","47","033","47033","4239","128","288","460","408","41","651","6","5369","760","174","2276","2020"
"Decatur County, Tennessee","2216","9149","2134","23120","1756","1251","25","29","86","56","151","428","48","73","8","33","330","84","0","19","2099","1556","194","296","49","81","923","1410","47","039","47039","3007","54","142","579","121","41","414","19","3655","490","130","2333","2020"
"Jackson County, Tennessee","2066","9410","1844","21648","1539","1626","158","25","73","97","88","145","125","238","35","31","378","94","9","0","2026","1442","259","697","131","142","1241","1327","47","087","47087","3165","183","170","233","363","66","472","9","3468","956","273","2568","2020"
"Knox County, Tennessee","118379","333298","60065","30990","86829","74544","3616","1966","6468","12276","5638","8085","6283","6877","3599","2401","9422","5011","372","153","100712","82129","18947","26447","3951","7167","26521","39521","47","093","47093","161373","5582","18744","13723","13160","6000","14433","525","182841","45394","11118","66042","2020"
"Lawrence County, Tennessee","10269","32112","7191","23744","6371","5319","220","74","340","368","738","748","424","551","107","165","880","414","167","74","8487","5833","892","2274","200","215","3563","4868","47","099","47099","11690","294","708","1486","975","272","1294","241","14320","3166","415","8431","2020"
"Loudon County, Tennessee","10006","41496","6414","30736","8789","7546","420","202","465","1217","500","651","335","389","646","264","1027","575","6","27","10224","7471","1282","2854","185","411","3065","4565","47","105","47105","16335","622","1682","1151","724","910","1602","33","17695","4136","596","7630","2020"
"Macon County, Tennessee","5037","18182","3987","24842","4168","3505","67","74","84","369","459","505","150","180","42","67","863","256","4","0","5139","3875","682","1089","52","216","1525","2339","47","111","47111","7673","141","453","964","330","109","1119","4","9014","1771","268","3864","2020"
"Marshall County, Tennessee","6977","25536","5363","30759","5967","5076","194","70","239","525","482","703","371","332","119","143","849","206","0","16","7248","5555","888","1599","198","260","2290","3308","47","117","47117","11043","264","764","1185","703","262","1055","16","12803","2487","458","5598","2020"
"Monroe County, Tennessee","8660","36469","7570","23716","6627","5468","278","180","515","797","717","862","156","353","232","151","1108","459","48","9","8650","6730","1104","1873","217","275","4027","5008","47","123","47123","12095","458","1312","1579","509","383","1567","57","15380","2977","492","9035","2020"
"Morgan County, Tennessee","3623","17175","4205","24035","2434","2200","19","29","79","310","191","344","541","172","245","68","397","145","11","12","3541","2494","549","880","89","235","3935","2353","47","129","47129","4634","48","389","535","713","313","542","23","6035","1429","324","6288","2020"
"Perry County, Tennessee","1656","6153","1854","21816","772","911","29","4","64","67","91","168","95","93","54","0","364","150","0","0","1351","874","117","434","7","116","892","931","47","135","47135","1683","33","131","259","188","54","514","0","2225","551","123","1823","2020"
"Putnam County, Tennessee","20662","55172","13345","25441","13229","11367","494","143","760","1176","1230","1611","902","1304","223","162","2115","916","53","68","15951","12477","3341","4062","687","932","5885","7421","47","141","47141","24596","637","1936","2841","2206","385","3031","121","28428","7403","1619","13306","2020"
"Robertson County, Tennessee","15255","52905","7850","33576","13858","11402","680","213","632","1302","1167","1609","388","696","419","177","1450","837","8","66","17195","13364","1676","3042","479","589","3458","5840","47","147","47147","25260","893","1934","2776","1084","596","2287","74","30559","4718","1068","9298","2020"
"Sevier County, Tennessee","18717","76037","13678","25623","18168","16752","906","310","736","1260","1688","1832","533","787","304","223","2194","1270","78","45","20024","16194","3913","5422","598","988","5726","8191","47","155","47155","34920","1216","1996","3520","1320","527","3464","123","36218","9335","1586","13917","2020"
"Stewart County, Tennessee","2792","10290","1772","26176","2011","1954","64","23","23","127","133","308","142","113","164","131","242","181","0","6","2558","2276","533","464","157","96","855","1475","47","161","47161","3965","87","150","441","255","295","423","6","4834","997","253","2330","2020"
"Tipton County, Tennessee","14897","44653","7046","30761","10110","8001","406","110","457","1467","1150","938","469","1208","889","591","1025","558","13","29","13613","10354","1399","2783","300","471","4235","6316","47","167","47167","18111","516","1924","2088","1677","1480","1583","42","23967","4182","771","10551","2020"
"Union County, Tennessee","4036","15029","3655","24055","3264","2530","93","28","64","316","197","326","80","113","126","25","485","168","0","0","3898","2866","511","798","110","65","1634","2532","47","173","47173","5794","121","380","523","193","151","653","0","6764","1309","175","4166","2020"
"Washington County, Tennessee","30212","94821","18819","26171","22286","18148","839","361","1668","4373","1824","2295","1141","2070","691","852","2680","1203","38","42","26962","21396","4447","7451","1073","1660","8560","12284","47","179","47179","40434","1200","6041","4119","3211","1543","3883","80","48358","11898","2733","20844","2020"
"White County, Tennessee","5268","20838","3937","24467","4071","3830","155","85","98","262","360","408","126","380","12","41","712","374","0","0","4992","4308","671","996","61","116","2006","3130","47","185","47185","7901","240","360","768","506","53","1086","0","9300","1667","177","5136","2020"
"Anderson County, Tennessee","15801","58029","11349","28335","11788","9832","413","195","1592","1497","777","1546","387","483","1069","588","1457","768","16","12","15398","11853","1966","2918","474","628","5385","8250","47","001","47001","21620","608","3089","2323","870","1657","2225","28","27251","4884","1102","13635","2020"
"Benton County, Tennessee","3219","12361","2722","21485","2106","1847","91","21","58","134","359","272","101","96","97","12","288","139","0","24","2934","1736","277","666","49","187","1358","2156","47","005","47005","3953","112","192","631","197","109","427","24","4670","943","236","3514","2020"
"Bledsoe County, Tennessee","2334","12282","2819","23501","3261","1089","48","30","102","86","65","226","305","153","62","49","257","216","14","0","3760","1331","321","456","120","117","2296","1799","47","007","47007","4350","78","188","291","458","111","473","14","5091","777","237","4095","2020"
"Bradley County, Tennessee","25837","77320","16074","27215","19065","15893","689","456","1599","2550","1247","2318","760","922","321","264","2281","1448","136","17","22901","17951","3331","5916","934","1141","6385","9531","47","011","47011","34958","1145","4149","3565","1682","585","3729","153","40852","9247","2075","15916","2020"
"Campbell County, Tennessee","7964","30518","7688","22796","5453","5147","388","114","330","282","654","1149","167","256","330","140","899","365","13","0","7527","5798","880","2030","131","281","3518","4124","47","013","47013","10600","502","612","1803","423","470","1264","13","13325","2910","412","7642","2020"
"Carroll County, Tennessee","6189","20609","4519","24664","3856","3629","135","43","335","445","581","420","330","411","97","75","896","235","28","28","5345","4085","587","1293","249","301","2289","2720","47","017","47017","7485","178","780","1001","741","172","1131","56","9430","1880","550","5009","2020"
"Carter County, Tennessee","10632","44368","10423","24394","8598","7143","167","104","530","1241","906","977","575","732","164","277","1160","559","30","3","10680","8724","1494","2149","449","624","4801","6171","47","019","47019","15741","271","1771","1883","1307","441","1719","33","19404","3643","1073","10972","2020"
"Chester County, Tennessee","4423","12373","2120","27129","2241","2214","189","15","144","292","279","564","75","79","115","63","161","91","0","0","3174","2477","248","897","69","137","1926","2116","47","023","47023","4455","204","436","843","154","178","252","0","5651","1145","206","4042","2020"
"Claiborne County, Tennessee","7095","23686","7041","21757","4576","4154","391","61","315","462","509","634","197","312","181","80","552","216","13","9","5942","4683","764","1236","240","391","3034","4035","47","025","47025","8730","452","777","1143","509","261","768","22","10625","2000","631","7069","2020"
"Cocke County, Tennessee","6503","28427","7287","22577","5535","4719","205","120","116","437","506","695","112","554","93","216","475","233","13","2","6076","5368","819","1382","166","148","3450","4458","47","029","47029","10254","325","553","1201","666","309","708","15","11444","2201","314","7908","2020"
"Coffee County, Tennessee","12430","41485","7987","26757","9908","8654","406","205","299","545","672","1151","552","475","449","223","1252","858","18","12","12571","8961","1085","3215","182","511","3366","4714","47","031","47031","18562","611","844","1823","1027","672","2110","30","21532","4300","693","8080","2020"
"Cumberland County, Tennessee","9252","49325","7407","25676","8363","6741","368","91","653","891","573","792","464","350","211","85","1442","734","92","0","10851","7556","1176","2562","222","343","3482","6180","47","035","47035","15104","459","1544","1365","814","296","2176","92","18407","3738","565","9662","2020"
"Davidson County, Tennessee","160372","502846","95180","35048","141080","123429","7440","3677","15221","26046","6905","12485","5554","9060","2840","2928","15502","10736","316","225","170187","149478","23741","36871","6657","10210","30568","48285","47","037","47037","264509","11117","41267","19390","14614","5768","26238","541","319665","60612","16867","78853","2020"
"DeKalb County, Tennessee","4101","15358","3898","27951","3451","2072","193","117","113","367","311","394","88","278","68","56","321","127","27","32","3980","2926","476","417","32","132","1857","2538","47","041","47041","5523","310","480","705","366","124","448","59","6906","893","164","4395","2020"
"Dickson County, Tennessee","11361","39781","6278","30146","9620","8273","419","326","451","885","730","857","303","528","212","247","1259","424","58","0","11524","9570","1268","2048","465","313","3492","5255","47","043","47043","17893","745","1336","1587","831","459","1683","58","21094","3316","778","8747","2020"
"Dyer County, Tennessee","8421","27420","6667","27313","5974","5490","462","253","515","378","434","649","329","702","76","76","649","389","0","0","7506","5703","1255","1950","249","303","2103","3731","47","045","47045","11464","715","893","1083","1031","152","1038","0","13209","3205","552","5834","2020"
"Fayette County, Tennessee","7463","32131","4812","31577","6724","5471","382","141","409","744","818","681","272","312","271","172","1022","463","0","3","8839","6534","726","1566","145","272","2864","4262","47","047","47047","12195","523","1153","1499","584","443","1485","3","15373","2292","417","7126","2020"
"Fentress County, Tennessee","3621","14201","3343","20514","2305","2146","99","82","174","153","320","413","126","180","82","6","729","237","6","44","3391","2485","447","980","133","129","1708","1888","47","049","47049","4451","181","327","733","306","88","966","50","5876","1427","262","3596","2020"
"Franklin County, Tennessee","9963","30680","6140","26129","7336","5759","257","86","536","573","622","803","192","484","217","135","770","545","0","0","8739","6523","1066","1630","455","634","2715","4447","47","051","47051","13095","343","1109","1425","676","352","1315","0","15262","2696","1089","7162","2020"
"Gibson County, Tennessee","10864","36464","7398","25826","7315","7050","301","168","444","894","608","773","356","466","238","92","937","532","62","0","9068","7556","1284","2239","236","479","4029","5051","47","053","47053","14365","469","1338","1381","822","330","1469","62","16624","3523","715","9080","2020"
"Giles County, Tennessee","5980","22448","3753","27371","4924","4309","104","55","128","437","565","459","129","249","89","142","840","251","4","9","5770","4495","815","1302","290","282","2147","3116","47","055","47055","9233","159","565","1024","378","231","1091","13","10265","2117","572","5263","2020"
"Grainger County, Tennessee","4208","18322","3871","23090","3427","3129","223","13","146","290","280","553","128","249","97","150","887","324","0","0","4181","3385","653","1028","193","396","1964","2743","47","057","47057","6556","236","436","833","377","247","1211","0","7566","1681","589","4707","2020"
"Greene County, Tennessee","13748","53256","11342","23423","11116","8842","404","146","721","1549","1022","1499","248","767","204","254","811","453","51","131","12453","10806","2285","2717","531","752","5774","6816","47","059","47059","19958","550","2270","2521","1015","458","1264","182","23259","5002","1283","12590","2020"
"Grundy County, Tennessee","2835","10047","2512","22063","1732","1518","15","13","76","111","244","311","90","367","35","97","578","185","2","11","2540","2044","340","565","7","96","1192","1291","47","061","47061","3250","28","187","555","457","132","763","13","4584","905","103","2483","2020"
"Hamblen County, Tennessee","13906","48223","10645","24494","10784","9818","249","254","508","746","535","1123","433","399","169","61","982","868","0","0","12021","9530","1366","2924","278","421","6137","6972","47","063","47063","20602","503","1254","1658","832","230","1850","0","21551","4290","699","13109","2020"
"Hamilton County, Tennessee","83701","268598","44464","31003","65781","56824","3303","1335","6073","11216","3822","6770","2104","3067","3540","1450","7464","4492","79","111","79234","64889","11498","19541","3024","5079","20130","30105","47","065","47065","122605","4638","17289","10592","5171","4990","11956","190","144123","31039","8103","50235","2020"
"Hancock County, Tennessee","1325","5008","1963","19561","638","613","27","0","17","38","80","291","74","86","97","0","95","33","0","0","972","817","131","256","29","131","848","778","47","067","47067","1251","27","55","371","160","97","128","0","1789","387","160","1626","2020"
"Hardeman County, Tennessee","4858","19489","3876","24149","2897","2392","88","55","77","262","426","760","238","448","47","156","255","228","0","0","3670","3484","464","950","150","144","5519","2173","47","069","47069","5289","143","339","1186","686","203","483","0","7154","1414","294","7692","2020"
"Hardin County, Tennessee","5108","19723","4364","23031","3758","2990","364","63","223","300","286","817","140","123","133","68","460","249","16","0","4604","3431","520","1116","136","151","2304","2963","47","071","47071","6748","427","523","1103","263","201","709","16","8035","1636","287","5267","2020"
"Hawkins County, Tennessee","10889","44449","9864","24275","8838","6585","326","82","343","1347","770","1389","234","380","212","165","691","619","9","11","10181","8173","1516","2666","380","434","5226","6467","47","073","47073","15423","408","1690","2159","614","377","1310","20","18354","4182","814","11693","2020"
"Haywood County, Tennessee","3543","13211","3078","24630","2952","2578","61","21","145","236","355","312","109","213","45","154","249","203","0","0","3416","3073","470","634","17","219","1217","1697","47","075","47075","5530","82","381","667","322","199","452","0","6489","1104","236","2914","2020"
"Henderson County, Tennessee","5971","21065","5216","25606","3815","3485","97","101","88","311","487","825","315","394","139","85","788","308","0","0","4943","4418","560","1013","224","320","2698","3005","47","077","47077","7300","198","399","1312","709","224","1096","0","9361","1573","544","5703","2020"
"Henry County, Tennessee","6130","25072","6548","25458","4652","4217","199","111","201","392","406","716","197","248","151","69","606","328","0","0","5450","4528","901","1304","148","338","2747","3504","47","079","47079","8869","310","593","1122","445","220","934","0","9978","2205","486","6251","2020"
"Hickman County, Tennessee","4827","19474","3411","25678","3792","3276","199","70","119","334","465","426","253","176","109","217","617","383","0","9","4996","3601","515","1014","187","241","3299","2408","47","081","47081","7068","269","453","891","429","326","1000","9","8597","1529","428","5707","2020"
"Houston County, Tennessee","1796","6142","1166","23148","1208","939","47","33","36","30","147","323","28","83","43","70","68","77","26","0","1564","1192","237","300","76","134","639","844","47","083","47083","2147","80","66","470","111","113","145","26","2756","537","210","1483","2020"
"Humphreys County, Tennessee","3826","14126","2803","24689","2821","2279","160","12","169","258","278","398","221","112","144","119","215","303","36","21","3710","2809","419","930","65","116","1448","1941","47","085","47085","5100","172","427","676","333","263","518","57","6519","1349","181","3389","2020"
"Jefferson County, Tennessee","11899","40966","6810","24001","9508","7759","321","104","376","810","909","1144","314","408","243","191","1144","658","0","0","10763","8795","1792","2631","354","550","4257","5035","47","089","47089","17267","425","1186","2053","722","434","1802","0","19558","4423","904","9292","2020"
"Johnson County, Tennessee","2885","14293","3694","18864","2074","1615","81","70","83","216","175","99","271","353","43","4","399","242","0","0","2850","2030","1385","578","29","85","1998","2069","47","091","47091","3689","151","299","274","624","47","641","0","4880","1963","114","4067","2020"
"Lake County, Tennessee","1134","5907","1389","19007","461","440","13","4","42","106","80","98","79","155","0","5","106","122","0","0","819","800","160","190","13","31","2778","516","47","095","47095","901","17","148","178","234","5","228","0","1619","350","44","3294","2020"
"Lauderdale County, Tennessee","5672","19153","4478","25083","3628","3134","73","33","106","230","326","370","264","475","82","42","321","132","19","7","4449","3983","406","644","216","104","3729","2966","47","097","47097","6762","106","336","696","739","124","453","26","8432","1050","320","6695","2020"
"Lewis County, Tennessee","2582","9344","2405","23538","1601","1548","158","78","95","132","200","328","165","73","0","20","254","144","0","8","2051","1700","325","591","76","187","1228","1129","47","101","47101","3149","236","227","528","238","20","398","8","3751","916","263","2357","2020"
"Lincoln County, Tennessee","7314","25625","3929","30096","6039","4950","227","80","247","251","613","812","124","395","224","229","875","269","124","77","7384","5394","709","1673","323","163","2106","3146","47","103","47103","10989","307","498","1425","519","453","1144","201","12778","2382","486","5252","2020"
"McMinn County, Tennessee","10932","40694","8479","24767","8741","7288","184","104","495","542","464","838","491","619","183","221","1197","743","30","23","10677","7586","1318","2592","347","744","3808","5966","47","107","47107","16029","288","1037","1302","1110","404","1940","53","18263","3910","1091","9774","2020"
"McNairy County, Tennessee","5018","19896","4697","23020","3853","2558","141","72","217","331","287","953","145","255","4","72","479","165","0","8","4710","3512","561","747","93","175","2334","3425","47","109","47109","6411","213","548","1240","400","76","644","8","8222","1308","268","5759","2020"
"Madison County, Tennessee","23505","70708","18514","26846","14539","14153","675","257","1738","2597","1523","1716","519","1235","254","370","1853","1151","45","61","18256","16275","2450","5126","607","1000","8019","10130","47","113","47113","28692","932","4335","3239","1754","624","3004","106","34531","7576","1607","18149","2020"
